Certus1	
3476099912	0.296517669095 0.823336058061 0.483936987025 344.136199951172 0.944115690573 -0.329089712004 -0.018588283052 -296.825561523437 0.143954279994 0.462404257062 -0.874905405357 -1697.910034179687 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099912	0.296045517144 0.824070427682 0.482975136005 344.269775390625 0.944232632462 -0.328799322412 -0.017769112941 -296.769927978516 0.144158896960 0.461301350313 -0.875453754705 -1697.731811523437 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099912	0.295782089670 0.823920262556 0.483392548949 344.302459716797 0.944265694712 -0.328718866126 -0.017498709730 -296.748779296875 0.144482709070 0.461626805983 -0.875228792247 -1697.689819335937 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099912	0.295276769561 0.823470439488 0.484466783842 344.366180419922 0.944414537854 -0.328285140816 -0.017608151813 -296.757843017578 0.144543453842 0.462736751953 -0.874632430420 -1697.627441406250 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099912	0.295744019458 0.824227685825 0.482891495963 344.404266357422 0.944353827834 -0.328452554458 -0.017741683259 -296.608978271484 0.143983758840 0.461267429361 -0.875500448773 -1697.513793945312 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099912	0.295714110196 0.823660345852 0.483876843527 344.457092285156 0.944261031471 -0.328732217449 -0.017499533015 -296.552429199219 0.144652236329 0.462080906208 -0.874961122932 -1697.618408203125 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099912	0.295768981009 0.824597529934 0.482244360776 344.412231445312 0.944244378667 -0.328812438603 -0.016879975548 -296.552459716797 0.144648758128 0.460349099974 -0.875874102212 -1697.665405273437 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099913	0.295169825645 0.824449511953 0.482864138520 344.429626464844 0.944300321001 -0.328694653162 -0.016022756938 -296.606079101562 0.145504906398 0.460698195376 -0.875548682251 -1697.681884765625 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099913	0.295264479489 0.824590178589 0.482565979453 344.481872558594 0.944316387344 -0.328638423354 -0.016227978578 -296.712707519531 0.145208290898 0.460486508021 -0.875709271497 -1697.826416015625 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099913	0.295673061749 0.824800382560 0.481956190422 344.512145996094 0.944283365781 -0.328706106254 -0.016769639837 -296.721557617187 0.144590337385 0.460061544406 -0.876034822193 -1697.825073242187 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099913	0.296099363389 0.825551015907 0.480406793391 344.660614013672 0.944217217308 -0.328895444950 -0.016781919722 -296.675384521484 0.144149275194 0.458577481378 -0.876885214857 -1697.565307617187 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099913	0.295805766237 0.824926992844 0.481657975267 344.744049072266 0.944218755867 -0.328901277048 -0.016579837908 -296.656005859375 0.144740767339 0.459694905817 -0.876202433138 -1697.528320312500 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099913	0.295813066572 0.825082493855 0.481387066694 344.698730468750 0.944183406937 -0.329017932035 -0.016275578775 -296.619232177734 0.144956282067 0.459332209554 -0.876357003484 -1697.513793945312 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099913	0.295958792312 0.825015655600 0.481412049360 344.650573730469 0.944139590612 -0.329138860593 -0.016372045873 -296.615081787109 0.144944219242 0.459365626123 -0.876341483011 -1697.527954101562 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099913	0.295846218046 0.825247321264 0.481084061277 344.601989746094 0.944150232248 -0.329124968333 -0.016034156234 -296.624877929687 0.145104631952 0.458959272667 -0.876527827179 -1697.529418945312 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099913	0.295720492345 0.825181742402 0.481273812307 344.550109863281 0.944147005749 -0.329146134892 -0.015787761763 -296.598144531250 0.145381642386 0.459061993516 -0.876428128352 -1697.554077148437 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099913	0.295566554048 0.824641369337 0.482293504108 344.661529541016 0.944191597476 -0.329003398634 -0.016093195523 -296.558074951172 0.145405087197 0.460134084441 -0.875861852664 -1697.674316406250 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099913	0.295516420942 0.825702271337 0.480505779427 344.601806640625 0.944208460866 -0.328989975272 -0.015361594940 -296.578857421875 0.145397480658 0.458237225987 -0.876857010771 -1697.520385742187 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099913	0.295635267575 0.824306511075 0.482823533359 344.713195800781 0.944234994246 -0.328846962695 -0.016731729344 -296.726562500000 0.144982979023 0.460845365525 -0.875557813550 -1697.473388671875 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
3476099913	0.295506156089 0.824327594820 0.482866573839 344.769348144531 0.944260548619 -0.328780646282 -0.016592255770 -296.820678710937 0.145079729923 0.460854969647 -0.875536731906 -1697.312500000000 0.000000000000 0.000000000000 0.000000000000 1.000000000000 |
