Dsr Loads, , , , , , Msr Loads, , , , , , Dsr Pos, , , Msr Pos, , , Preprocessing PID Computed, , , PID Setpoints, , , Post Processing PID Computed, , , Next Pos, , , Axis, Sign, Point, PID-P, , , Deadbands Lower (0) and Upper (1), , , , , , LWR External, , , , , ,Timestamp, Cartesian Frame
Fx, Fy, Fz, Mx, My, Mz, Fx, Fy, Fz, Mx, My, Mz, Px, Py, Pz, Px, Py, Pz, PIDx, PIDy, PIDz, Fx, Fy, Fz, PIDx, PIDy, PIDz, Px, Py, Pz, Sign, Axis, Point, PIDx-P, PIDy-P, PIDz-P, DeadFx[0], DeadFx[1], DeadFy[0], DeadFy[1], DeadFz[0], DeadFz[1], Fx, Fy, Fz, Mx, My, Mz, t[s], T(0 0), T(0 1), T(0 2), T(0 3), T(1 0), T(1 1), T(1 2), T(1 3), T(2 0), T(2 1), T(2 2), T(2 3)
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.55719,4.41957,-22.4885,3.35641,-2.70747,0.414756,-0.71949,-0.000320542,0.128884,-0.718495,-0.000325166,0.12888,-1,0,-7.4404e-005,4.91232,4.08402,-22.7985,0.0008,-0,7.4404e-005,-0.719295,-0.000325932,0.128806,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.84984,-3.41966,1.75827,0.425834,1.03588,-0.70187,1439424442218,-1,0,0,-0.719295,0,1,0,-0.000325932,0,0,-1,0.128806
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.56699,4.41733,-22.4853,3.35581,-2.70798,0.416158,-0.71949,-0.000320542,0.128884,-0.718495,-0.000325166,0.12888,-1,0,-7.51735e-005,4.91232,4.08402,-22.7985,0.0008,-0,7.51735e-005,-0.719295,-0.000325933,0.128805,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.8471,-3.38686,1.73896,0.41982,1.03271,-0.691561,1439424442220,-1,0,0,-0.719295,0,1,0,-0.000325933,0,0,-1,0.128805
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.5652,4.41746,-22.4822,3.35543,-2.70768,0.415905,-0.71949,-0.000320542,0.128884,-0.718495,-0.000325166,0.128881,-1,0,-7.59068e-005,4.91232,4.08402,-22.7985,0.0008,-0,7.59068e-005,-0.719295,-0.000325933,0.128805,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.83753,-3.40445,1.79067,0.423241,1.0373,-0.69833,1439424442222,-1,0,0,-0.719295,0,1,0,-0.000325933,0,0,-1,0.128805
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.55998,4.41539,-22.4864,3.3558,-2.70771,0.415393,-0.71949,-0.000320542,0.128884,-0.718503,-0.000320522,0.128888,-1,0,-7.49103e-005,4.91232,4.08402,-22.7985,0.0008,-0,7.49103e-005,-0.719303,-0.000321282,0.128813,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.92244,-3.54897,1.85276,0.448727,1.06067,-0.743253,1439424442224,-1,0,0,-0.719303,0,1,0,-0.000321282,0,0,-1,0.128813
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.56245,4.4114,-22.4853,3.35538,-2.70783,0.41608,-0.71949,-0.000320542,0.128884,-0.718532,-0.00030404,0.128913,-1,0,-7.51685e-005,4.91232,4.08402,-22.7985,0.0008,-0,7.51685e-005,-0.719332,-0.000304784,0.128838,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.95526,-3.59214,1.91634,0.45216,1.07425,-0.745825,1439424442226,-1,0,0,-0.719332,0,1,0,-0.000304784,0,0,-1,0.128838
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.51848,4.40207,-22.4824,3.35435,-2.70433,0.411334,-0.71949,-0.000320542,0.128884,-0.718558,-0.000285007,0.128934,-1,0,-7.58757e-005,4.91232,4.08402,-22.7985,0.0008,-0,7.58757e-005,-0.719358,-0.000285734,0.128858,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.84486,-3.46479,1.67393,0.428733,1.02498,-0.701251,1439424442228,-1,0,0,-0.719358,0,1,0,-0.000285734,0,0,-1,0.128858
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.51848,4.40207,-22.4824,3.35435,-2.70433,0.411334,-0.71949,-0.000320542,0.128884,-0.718575,-0.000271188,0.128944,-1,0,-7.58757e-005,4.91232,4.08402,-22.7985,0.0008,-0,7.58757e-005,-0.719375,-0.000271902,0.128868,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.8006,-3.33958,1.48722,0.410669,0.999245,-0.67153,1439424442230,-1,0,0,-0.719375,0,1,0,-0.000271902,0,0,-1,0.128868
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.31644,4.38576,-22.4643,3.3511,-2.68849,0.386683,-0.71949,-0.000320542,0.128884,-0.718583,-0.000266477,0.128944,-0.808244,0,-8.02162e-005,4.91232,4.08402,-22.7985,0.000780824,-0,8.02162e-005,-0.719364,-0.000267176,0.128864,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.77077,-3.27618,1.55197,0.404024,1.00756,-0.663722,1439424442232,-1,0,0,-0.719364,0,1,0,-0.000267176,0,0,-1,0.128864
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.33846,4.37096,-22.4696,3.35109,-2.69083,0.390023,-0.71949,-0.000320542,0.128884,-0.718593,-0.000265272,0.128947,-0.852289,0,-7.89455e-005,4.91232,4.08402,-22.7985,0.000785229,-0,7.89455e-005,-0.719378,-0.00026597,0.128868,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.71132,-3.36571,1.84063,0.4231,1.03607,-0.703095,1439424442234,-1,0,0,-0.719378,0,1,0,-0.00026597,0,0,-1,0.128868
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.45128,4.36417,-22.4676,3.35085,-2.69916,0.404073,-0.71949,-0.000320542,0.128884,-0.71861,-0.000263717,0.128959,-1,0,-7.94142e-005,4.91232,4.08402,-22.7985,0.0008,-0,7.94142e-005,-0.71941,-0.000264423,0.128879,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.74525,-3.45651,1.99603,0.437724,1.06476,-0.730964,1439424442236,-1,0,0,-0.71941,0,1,0,-0.000264423,0,0,-1,0.128879
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.50406,4.3666,-22.4601,3.35064,-2.70271,0.409614,-0.71949,-0.000320542,0.128884,-0.718637,-0.000258575,0.128981,-1,0,-8.12155e-005,4.91232,4.08402,-22.7985,0.0008,-0,8.12155e-005,-0.719437,-0.000259279,0.1289,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.84106,-3.51295,1.96564,0.444802,1.08113,-0.740196,1439424442238,-1,0,0,-0.719437,0,1,0,-0.000259279,0,0,-1,0.1289
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.47844,4.37023,-22.4672,3.35243,-2.70165,0.405067,-0.71949,-0.000320542,0.128884,-0.718666,-0.000253445,0.129004,-1,0,-7.95158e-005,4.91232,4.08402,-22.7985,0.0008,-0,7.95158e-005,-0.719467,-0.000254142,0.128925,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.81502,-3.45965,1.85471,0.43408,1.06414,-0.71795,1439424442240,-1,0,0,-0.719467,0,1,0,-0.000254142,0,0,-1,0.128925
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.44157,4.37473,-22.4721,3.35406,-2.69965,0.39905,-0.71949,-0.000320542,0.128884,-0.718694,-0.000249245,0.129024,-1,0,-7.83275e-005,4.91232,4.08402,-22.7985,0.0008,-0,7.83275e-005,-0.719494,-0.000249937,0.128947,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.74479,-3.377,1.83928,0.420183,1.05309,-0.69289,1439424442242,-1,0,0,-0.719494,0,1,0,-0.000249937,0,0,-1,0.128947
