Dsr Loads, , , , , , Msr Loads, , , , , , Dsr Pos, , , Msr Pos, , , Preprocessing PID Computed, , , PID Setpoints, , , Post Processing PID Computed, , , Next Pos, , , Axis, Sign, Point, PID-P, , , Deadbands Lower (0) and Upper (1), , , , , , LWR External, , , , , ,Timestamp, Cartesian Frame
Fx, Fy, Fz, Mx, My, Mz, Fx, Fy, Fz, Mx, My, Mz, Px, Py, Pz, Px, Py, Pz, PIDx, PIDy, PIDz, Fx, Fy, Fz, PIDx, PIDy, PIDz, Px, Py, Pz, Sign, Axis, Point, PIDx-P, PIDy-P, PIDz-P, DeadFx[0], DeadFx[1], DeadFy[0], DeadFy[1], DeadFz[0], DeadFz[1], Fx, Fy, Fz, Mx, My, Mz, t[s], T(0 0), T(0 1), T(0 2), T(0 3), T(1 0), T(1 1), T(1 2), T(1 3), T(2 0), T(2 1), T(2 2), T(2 3)
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.54107,4.42188,-22.5294,3.36237,-2.70914,0.412188,-0.71949,-0.000320542,0.128884,-0.718484,-0.00028832,0.128881,-1,0,0,4.91232,4.08402,-22.7985,0.0008,-0,-0,-0.719284,-0.000288995,0.128882,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.70622,-3.50308,1.82274,0.444097,1.02722,-0.731489,1439424472569,-1,0,0,-0.719284,0,1,0,-0.000288995,0,0,-1,0.128882
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.53561,4.42316,-22.528,3.36225,-2.70855,0.411434,-0.71949,-0.000320542,0.128884,-0.718484,-0.000289658,0.128882,-1,0,0,4.91232,4.08402,-22.7985,0.0008,-0,-0,-0.719284,-0.000290334,0.128882,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.71837,-3.42431,1.83497,0.429318,1.03124,-0.706834,1439424472571,-1,0,0,-0.719284,0,1,0,-0.000290334,0,0,-1,0.128882
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.53737,4.42337,-22.528,3.36223,-2.70865,0.411686,-0.71949,-0.000320542,0.128884,-0.718484,-0.000289658,0.128882,-1,0,0,4.91232,4.08402,-22.7985,0.0008,-0,-0,-0.719284,-0.000290334,0.128882,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.71311,-3.44056,1.81724,0.433332,1.02767,-0.714736,1439424472573,-1,0,0,-0.719284,0,1,0,-0.000290334,0,0,-1,0.128882
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.5416,4.4234,-22.5265,3.36199,-2.70881,0.412269,-0.71949,-0.000320542,0.128884,-0.718492,-0.000287091,0.12889,-1,0,0,4.91232,4.08402,-22.7985,0.0008,-0,-0,-0.719292,-0.000287764,0.12889,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.77296,-3.50905,1.91509,0.444872,1.0509,-0.735457,1439424472575,-1,0,0,-0.719292,0,1,0,-0.000287764,0,0,-1,0.12889
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.53784,4.4183,-22.5261,3.36151,-2.70857,0.412226,-0.71949,-0.000320542,0.128884,-0.718521,-0.000271993,0.128917,-1,0,0,4.91232,4.08402,-22.7985,0.0008,-0,-0,-0.719321,-0.000272652,0.128917,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.84179,-3.54629,2.009,0.448143,1.07541,-0.741084,1439424472577,-1,0,0,-0.719321,0,1,0,-0.000272652,0,0,-1,0.128917
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.53065,4.40759,-22.52,3.3599,-2.70767,0.412283,-0.71949,-0.000320542,0.128884,-0.718551,-0.000259686,0.128941,-1,0,-6.68353e-005,4.91232,4.08402,-22.7985,0.0008,-0,6.68353e-005,-0.719351,-0.000260383,0.128875,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.76008,-3.38456,1.72812,0.41879,1.0267,-0.688695,1439424472579,-1,0,0,-0.719351,0,1,0,-0.000260383,0,0,-1,0.128875
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.43979,4.39838,-22.5114,3.35818,-2.70039,0.401576,-0.71949,-0.000320542,0.128884,-0.718569,-0.000253943,0.128953,-1,0,-6.88934e-005,4.91232,4.08402,-22.7985,0.0008,-0,6.88934e-005,-0.719369,-0.000254639,0.128885,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.66392,-3.30933,1.54553,0.410403,0.990878,-0.673654,1439424472581,-1,0,0,-0.719369,0,1,0,-0.000254639,0,0,-1,0.128885
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.31034,4.39186,-22.5058,3.35709,-2.69058,0.385565,-0.71949,-0.000320542,0.128884,-0.71858,-0.000253389,0.128958,-0.796031,0,-7.02365e-005,4.91232,4.08402,-22.7985,0.000779603,-0,7.02365e-005,-0.719359,-0.000254069,0.128888,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.63268,-3.32127,1.63948,0.416954,1.00244,-0.686844,1439424472583,-1,0,0,-0.719359,0,1,0,-0.000254069,0,0,-1,0.128888
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.28181,4.38748,-22.4891,3.35489,-2.68748,0.381872,-0.71949,-0.000320542,0.128884,-0.718589,-0.000254766,0.128961,-0.738974,0,-7.42442e-005,4.91232,4.08402,-22.7985,0.000773897,-0,7.42442e-005,-0.719363,-0.000255445,0.128888,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.59498,-3.34884,1.83899,0.423452,1.02426,-0.701897,1439424472585,-1,0,0,-0.719363,0,1,0,-0.000255445,0,0,-1,0.128888
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.36712,4.37993,-22.4774,3.35332,-2.69311,0.392568,-0.71949,-0.000320542,0.128884,-0.718604,-0.00025333,0.128972,-0.909592,0,-7.707e-005,4.91232,4.08402,-22.7985,0.000790959,-0,7.707e-005,-0.719395,-0.000254021,0.128896,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.60799,-3.45343,2.03594,0.440505,1.05351,-0.733606,1439424472587,-1,0,0,-0.719395,0,1,0,-0.000254021,0,0,-1,0.128896
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.46781,4.37856,-22.4755,3.35359,-2.70048,0.404559,-0.71949,-0.000320542,0.128884,-0.718627,-0.000251914,0.128991,-1,0,-7.75154e-005,4.91232,4.08402,-22.7985,0.0008,-0,7.75154e-005,-0.719427,-0.000252613,0.128914,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.66188,-3.44614,2.05952,0.436152,1.0679,-0.724463,1439424472589,-1,0,0,-0.719427,0,1,0,-0.000252613,0,0,-1,0.128914
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.4809,4.38428,-22.4811,3.3553,-2.70204,0.404848,-0.71949,-0.000320542,0.128884,-0.718657,-0.000249334,0.129016,-1,0,-7.61865e-005,4.91232,4.08402,-22.7985,0.0008,-0,7.61865e-005,-0.719457,-0.000250029,0.12894,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.69628,-3.44945,2.01136,0.436538,1.07052,-0.7238,1439424472591,-1,0,0,-0.719457,0,1,0,-0.000250029,0,0,-1,0.12894
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.44208,4.38284,-22.4999,3.35818,-2.701,0.39911,-0.71949,-0.000320542,0.128884,-0.718683,-0.000246863,0.129035,-1,0,-7.16753e-005,4.91232,4.08402,-22.7985,0.0008,-0,7.16753e-005,-0.719483,-0.000247552,0.128964,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.62953,-3.37806,1.88558,0.424058,1.04528,-0.697722,1439424472593,-1,0,0,-0.719483,0,1,0,-0.000247552,0,0,-1,0.128964
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.42055,4.37886,-22.5084,3.35957,-2.70048,0.395756,-0.71949,-0.000320542,0.128884,-0.718706,-0.000245064,0.129051,-1,0,-6.96318e-005,4.91232,4.08402,-22.7985,0.0008,-0,6.96318e-005,-0.719506,-0.000245751,0.128982,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.64532,-3.35876,1.82833,0.422171,1.04479,-0.69405,1439424472595,-1,0,0,-0.719506,0,1,0,-0.000245751,0,0,-1,0.128982
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.41438,4.37976,-22.5036,3.35967,-2.70006,0.3939,-0.71949,-0.000320542,0.128884,-0.718727,-0.000243411,0.129063,-1,0,-7.07817e-005,4.91232,4.08402,-22.7985,0.0008,-0,7.07817e-005,-0.719527,-0.000244097,0.128993,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.70227,-3.34416,1.76025,0.420364,1.04893,-0.691475,1439424472597,-1,0,0,-0.719527,0,1,0,-0.000244097,0,0,-1,0.128993
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.439,4.38152,-22.4922,3.35898,-2.70135,0.395846,-0.71949,-0.000320542,0.128884,-0.718751,-0.000243387,0.129079,-1,0,-7.35141e-005,4.91232,4.08402,-22.7985,0.0008,-0,7.35141e-005,-0.719551,-0.000244075,0.129006,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.74357,-3.33495,1.834,0.418509,1.06746,-0.690421,1439424472599,-1,0,0,-0.719551,0,1,0,-0.000244075,0,0,-1,0.129006
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.47295,4.37943,-22.4791,3.35773,-2.70313,0.399333,-0.71949,-0.000320542,0.128884,-0.718776,-0.000242446,0.129096,-1,0,-7.6647e-005,4.91232,4.08402,-22.7985,0.0008,-0,7.6647e-005,-0.719576,-0.000243135,0.12902,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.69451,-3.29845,1.91083,0.411514,1.06921,-0.678676,1439424472601,-1,0,0,-0.719576,0,1,0,-0.000243135,0,0,-1,0.12902
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.45908,4.36961,-22.489,3.35879,-2.70316,0.397437,-0.71949,-0.000320542,0.128884,-0.7188,-0.000240696,0.129114,-1,0,-7.42754e-005,4.91232,4.08402,-22.7985,0.0008,-0,7.42754e-005,-0.7196,-0.000241381,0.12904,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.65031,-3.33976,1.87994,0.420244,1.05799,-0.693666,1439424472603,-1,0,0,-0.7196,0,1,0,-0.000241381,0,0,-1,0.12904
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.40415,4.35646,-22.5186,3.36205,-2.70171,0.390677,-0.71949,-0.000320542,0.128884,-0.718825,-0.000238932,0.129132,-0.983654,0,-6.71736e-005,4.91232,4.08402,-22.7985,0.000798365,-0,6.71736e-005,-0.719624,-0.00023961,0.129065,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.66961,-3.31619,1.80369,0.41644,1.05302,-0.685237,1439424472605,-1,0,0,-0.719624,0,1,0,-0.00023961,0,0,-1,0.129065
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.34637,4.34757,-22.5388,3.3644,-2.69936,0.383219,-0.71949,-0.000320542,0.128884,-0.718849,-0.000237276,0.129147,-0.868092,0,0,4.91232,4.08402,-22.7985,0.000786809,-0,-0,-0.719636,-0.000237895,0.129148,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.66441,-3.25715,1.80143,0.406776,1.05281,-0.667956,1439424472607,-1,0,0,-0.719636,0,1,0,-0.000237895,0,0,-1,0.129148
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.33703,4.33982,-22.5428,3.36479,-2.6994,0.381768,-0.71949,-0.000320542,0.128884,-0.71887,-0.00023634,0.12916,-0.849416,0,0,4.91232,4.08402,-22.7985,0.000784942,-0,-0,-0.719655,-0.000236956,0.129161,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.63939,-3.23051,1.78378,0.403649,1.04652,-0.663686,1439424472609,-1,0,0,-0.719655,0,1,0,-0.000236956,0,0,-1,0.129161
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.3738,4.33575,-22.5323,3.36362,-2.70166,0.385822,-0.71949,-0.000320542,0.128884,-0.718895,-0.000235399,0.129176,-0.92296,0,0,4.91232,4.08402,-22.7985,0.000792296,-0,-0,-0.719687,-0.00023602,0.129177,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.66033,-3.25005,1.8412,0.408171,1.05841,-0.673957,1439424472612,-1,0,0,-0.719687,0,1,0,-0.00023602,0,0,-1,0.129177
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.38614,4.33422,-22.5207,3.36254,-2.70199,0.386545,-0.71949,-0.000320542,0.128884,-0.718922,-0.000234561,0.129197,-0.947638,0,0,4.91232,4.08402,-22.7985,0.000794764,-0,-0,-0.719717,-0.000235184,0.129198,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.63117,-3.30452,1.94081,0.418413,1.06608,-0.691619,1439424472614,-1,0,0,-0.719717,0,1,0,-0.000235184,0,0,-1,0.129198
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.36585,4.32509,-22.5267,3.36308,-2.70136,0.383758,-0.71949,-0.000320542,0.128884,-0.71895,-0.000232806,0.129222,-0.907052,0,0,4.91232,4.08402,-22.7985,0.000790705,-0,-0,-0.719741,-0.000233424,0.129223,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.57183,-3.3239,1.9637,0.422005,1.05821,-0.696144,1439424472616,-1,0,0,-0.719741,0,1,0,-0.000233424,0,0,-1,0.129223
