Dsr Loads, , , , , , Msr Loads, , , , , , Dsr Pos, , , Msr Pos, , , Preprocessing PID Computed, , , PID Setpoints, , , Post Processing PID Computed, , , Next Pos, , , Axis, Sign, Point, PID-P, , , Deadbands Lower (0) and Upper (1), , , , , , LWR External, , , , , ,Timestamp, Cartesian Frame
Fx, Fy, Fz, Mx, My, Mz, Fx, Fy, Fz, Mx, My, Mz, Px, Py, Pz, Px, Py, Pz, PIDx, PIDy, PIDz, Fx, Fy, Fz, PIDx, PIDy, PIDz, Px, Py, Pz, Sign, Axis, Point, PIDx-P, PIDy-P, PIDz-P, DeadFx[0], DeadFx[1], DeadFy[0], DeadFy[1], DeadFz[0], DeadFz[1], Fx, Fy, Fz, Mx, My, Mz, t[s], T(0 0), T(0 1), T(0 2), T(0 3), T(1 0), T(1 1), T(1 2), T(1 3), T(2 0), T(2 1), T(2 2), T(2 3)
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.3907,4.3127,-22.6361,3.37876,-2.71285,0.385752,-0.71949,-0.000320542,0.128884,-0.718493,-0.000360986,0.128889,-0.956752,0,0,4.91232,4.08402,-22.7985,0.000795675,-0,-0,-0.719289,-0.000360204,0.128888,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-2.33587,-3.08751,2.28082,0.471432,1.45688,-0.671684,1439424501049,-1,0,0,-0.719289,0,1,0,-0.000360204,0,0,-1,0.128888
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.38875,4.31333,-22.639,3.3792,-2.71287,0.38538,-0.71949,-0.000320542,0.128884,-0.718493,-0.00035926,0.128889,-0.952861,0,0,4.91232,4.08402,-22.7985,0.000795286,-0,-0,-0.719288,-0.000358477,0.128887,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-2.33458,-3.04764,2.2875,0.464948,1.45745,-0.662075,1439424501051,-1,0,0,-0.719288,0,1,0,-0.000358477,0,0,-1,0.128887
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.38628,4.31167,-22.6365,3.37879,-2.71253,0.385103,-0.71949,-0.000320542,0.128884,-0.718493,-0.000358345,0.12889,-0.947922,0,0,4.91232,4.08402,-22.7985,0.000794792,-0,-0,-0.719288,-0.000357562,0.128888,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-2.35999,-3.09415,2.25937,0.473651,1.4587,-0.677572,1439424501053,-1,0,0,-0.719288,0,1,0,-0.000357562,0,0,-1,0.128888
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.39072,4.31012,-22.6346,3.37845,-2.71279,0.385722,-0.71949,-0.000320542,0.128884,-0.718507,-0.000360346,0.128903,-0.956799,0,0,4.91232,4.08402,-22.7985,0.00079568,-0,-0,-0.719302,-0.000359565,0.128902,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-2.41571,-3.05034,2.5098,0.463085,1.50078,-0.662858,1439424501055,-1,0,0,-0.719302,0,1,0,-0.000359565,0,0,-1,0.128902
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.38206,4.31484,-22.6397,3.3795,-2.71261,0.384291,-0.71949,-0.000320542,0.128884,-0.71856,-0.000376868,0.128959,-0.93948,0,0,4.91232,4.08402,-22.7985,0.000793948,-0,-0,-0.719353,-0.000376102,0.128958,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-2.50747,-2.93992,2.73175,0.442168,1.54623,-0.637866,1439424501057,-1,0,0,-0.719353,0,1,0,-0.000376102,0,0,-1,0.128958
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.32432,4.31501,-22.6471,3.38055,-2.70906,0.377088,-0.71949,-0.000320542,0.128884,-0.718612,-0.000393808,0.129009,-0.824,0,0,4.91232,4.08402,-22.7985,0.0007824,-0,-0,-0.719394,-0.00039307,0.129007,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-2.34492,-3.06859,2.20403,0.469214,1.45221,-0.67831,1439424501059,-1,0,0,-0.719394,0,1,0,-0.00039307,0,0,-1,0.129007
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.16979,4.32539,-22.629,3.37916,-2.69642,0.356761,-0.71949,-0.000320542,0.128884,-0.718647,-0.000403077,0.129035,-0.514947,0,0,4.91232,4.08402,-22.7985,0.000751495,-0,-0,-0.719398,-0.000402378,0.129034,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-2.20399,-3.14823,1.76514,0.48508,1.37639,-0.689011,1439424501061,-1,0,0,-0.719398,0,1,0,-0.000402378,0,0,-1,0.129034
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,4.97136,4.35216,-22.5763,3.37477,-2.67823,0.329273,-0.71949,-0.000320542,0.128884,-0.718667,-0.000406651,0.12904,-0.118076,0,0,4.91232,4.08402,-22.7985,0.000711808,-0,-0,-0.719379,-0.000405995,0.12904,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-2.21532,-3.1544,1.76973,0.485822,1.38537,-0.679708,1439424501063,-1,0,0,-0.719379,0,1,0,-0.000405995,0,0,-1,0.12904
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,4.93775,4.36771,-22.5294,3.3705,-2.67281,0.323096,-0.71949,-0.000320542,0.128884,-0.718694,-0.000407891,0.129052,-0.0508614,0,0,4.91232,4.08402,-22.7985,0.000705086,-0,-0,-0.719399,-0.000407241,0.129051,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-2.24413,-3.06709,2.26015,0.466646,1.45701,-0.652307,1439424501065,-1,0,0,-0.719399,0,1,0,-0.000407241,0,0,-1,0.129051
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.09314,4.35905,-22.5075,3.36787,-2.68302,0.342302,-0.71949,-0.000320542,0.128884,-0.718739,-0.000412775,0.129084,-0.36163,0,-6.98396e-005,4.91232,4.08402,-22.7985,0.000736163,-0,6.98396e-005,-0.719475,-0.000412077,0.129014,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-2.21497,-2.9946,2.68118,0.450866,1.50531,-0.636731,1439424501067,-1,0,0,-0.719475,0,1,0,-0.000412077,0,0,-1,0.129014
