Dsr Loads, , , , , , Msr Loads, , , , , , Dsr Pos, , , Msr Pos, , , Preprocessing PID Computed, , , PID Setpoints, , , Post Processing PID Computed, , , Next Pos, , , Axis, Sign, Point, PID-P, , , Deadbands Lower (0) and Upper (1), , , , , , LWR External, , , , , ,Timestamp, Cartesian Frame
Fx, Fy, Fz, Mx, My, Mz, Fx, Fy, Fz, Mx, My, Mz, Px, Py, Pz, Px, Py, Pz, PIDx, PIDy, PIDz, Fx, Fy, Fz, PIDx, PIDy, PIDz, Px, Py, Pz, Sign, Axis, Point, PIDx-P, PIDy-P, PIDz-P, DeadFx[0], DeadFx[1], DeadFy[0], DeadFy[1], DeadFz[0], DeadFz[1], Fx, Fy, Fz, Mx, My, Mz, t[s], T(0 0), T(0 1), T(0 2), T(0 3), T(1 0), T(1 1), T(1 2), T(1 3), T(2 0), T(2 1), T(2 2), T(2 3)
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.37936,4.32501,-22.6394,3.38223,-2.71202,0.382895,-0.71949,-0.000320542,0.128884,-0.718465,-0.000328575,0.12888,-0.934084,0,0,4.91232,4.08402,-22.7985,0.000793408,-0,-0,-0.719259,-0.000327765,0.128879,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-2.12447,-3.0242,2.10017,0.46262,1.29365,-0.659423,1439424544881,-1,0,0,-0.719259,0,1,0,-0.000327765,0,0,-1,0.128879
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.37874,4.32313,-22.6384,3.38193,-2.71199,0.382961,-0.71949,-0.000320542,0.128884,-0.718465,-0.000328575,0.12888,-0.932834,0,0,4.91232,4.08402,-22.7985,0.000793283,-0,-0,-0.719258,-0.000327765,0.128879,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-2.13183,-3.02311,2.10458,0.462445,1.2956,-0.659254,1439424544883,-1,0,0,-0.719258,0,1,0,-0.000327765,0,0,-1,0.128879
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.38108,4.32235,-22.6428,3.38243,-2.71252,0.383339,-0.71949,-0.000320542,0.128884,-0.718465,-0.000328575,0.12888,-0.937518,0,0,4.91232,4.08402,-22.7985,0.000793752,-0,-0,-0.719259,-0.000327765,0.128879,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-2.1186,-3.02695,2.12625,0.463201,1.29582,-0.660116,1439424544885,-1,0,0,-0.719259,0,1,0,-0.000327765,0,0,-1,0.128879
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.37899,4.32343,-22.6413,3.3823,-2.71223,0.382978,-0.71949,-0.000320542,0.128884,-0.718466,-0.000328576,0.128881,-0.933348,0,0,4.91232,4.08402,-22.7985,0.000793335,-0,-0,-0.719259,-0.000327766,0.12888,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-2.12613,-3.02754,2.12513,0.463177,1.29702,-0.660221,1439424544887,-1,0,0,-0.719259,0,1,0,-0.000327766,0,0,-1,0.12888
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.38129,4.32005,-22.6425,3.38217,-2.71254,0.383539,-0.71949,-0.000320542,0.128884,-0.71849,-0.000343104,0.128907,-0.937933,0,0,4.91232,4.08402,-22.7985,0.000793793,-0,-0,-0.719284,-0.000342307,0.128906,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-2.24623,-2.85452,2.39641,0.429824,1.35446,-0.612167,1439424544888,-1,0,0,-0.719284,0,1,0,-0.000342307,0,0,-1,0.128906
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.36665,4.31987,-22.6402,3.38187,-2.7113,0.381788,-0.71949,-0.000320542,0.128884,-0.718529,-0.000364358,0.128947,-0.908657,0,0,4.91232,4.08402,-22.7985,0.000790866,-0,-0,-0.719319,-0.000363583,0.128946,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-2.18932,-2.9171,2.32205,0.443842,1.33538,-0.640585,1439424544890,-1,0,0,-0.719319,0,1,0,-0.000363583,0,0,-1,0.128946
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.29854,4.32618,-22.6196,3.3798,-2.70478,0.372769,-0.71949,-0.000320542,0.128884,-0.718555,-0.000380448,0.128972,-0.772432,0,0,4.91232,4.08402,-22.7985,0.000777243,-0,-0,-0.719332,-0.000379701,0.128971,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-2.07648,-3.09331,1.79177,0.477661,1.25042,-0.687022,1439424544892,-1,0,0,-0.719332,0,1,0,-0.000379701,0,0,-1,0.128971
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.16966,4.35176,-22.5816,3.37696,-2.69264,0.354502,-0.71949,-0.000320542,0.128884,-0.718568,-0.000388812,0.128979,-0.514679,0,0,4.91232,4.08402,-22.7985,0.000751468,-0,-0,-0.719319,-0.0003881,0.128979,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-2.03581,-3.17156,1.67823,0.490824,1.235,-0.697611,1439424544894,-1,0,0,-0.719319,0,1,0,-0.0003881,0,0,-1,0.128979
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.09398,4.37874,-22.5482,3.37491,-2.68482,0.342641,-0.71949,-0.000320542,0.128884,-0.718579,-0.000391331,0.128983,-0.363312,0,0,4.91232,4.08402,-22.7985,0.000736331,-0,-0,-0.719316,-0.000390635,0.128982,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.9972,-3.10117,1.9741,0.47423,1.26984,-0.665978,1439424544896,-1,0,0,-0.719316,0,1,0,-0.000390635,0,0,-1,0.128982
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.14856,4.38044,-22.5356,3.37381,-2.68809,0.348907,-0.71949,-0.000320542,0.128884,-0.718601,-0.000395985,0.128999,-0.472484,0,0,4.91232,4.08402,-22.7985,0.000747248,-0,-0,-0.719348,-0.000395282,0.128998,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.99879,-2.97378,2.3392,0.449083,1.31955,-0.6315,1439424544898,-1,0,0,-0.719348,0,1,0,-0.000395282,0,0,-1,0.128998
