Dsr Loads, , , , , , Msr Loads, , , , , , Dsr Pos, , , Msr Pos, , , Preprocessing PID Computed, , , PID Setpoints, , , Post Processing PID Computed, , , Next Pos, , , Axis, Sign, Point, PID-P, , , Deadbands Lower (0) and Upper (1), , , , , , LWR External, , , , , ,Timestamp, Cartesian Frame
Fx, Fy, Fz, Mx, My, Mz, Fx, Fy, Fz, Mx, My, Mz, Px, Py, Pz, Px, Py, Pz, PIDx, PIDy, PIDz, Fx, Fy, Fz, PIDx, PIDy, PIDz, Px, Py, Pz, Sign, Axis, Point, PIDx-P, PIDy-P, PIDz-P, DeadFx[0], DeadFx[1], DeadFy[0], DeadFy[1], DeadFz[0], DeadFz[1], Fx, Fy, Fz, Mx, My, Mz, t[s], T(0 0), T(0 1), T(0 2), T(0 3), T(1 0), T(1 1), T(1 2), T(1 3), T(2 0), T(2 1), T(2 2), T(2 3)
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.39758,4.33038,-22.6442,3.38212,-2.71327,0.38594,-0.71949,-0.000320542,0.128884,-0.718428,-0.000331249,0.12888,-0.970512,0,0,4.91232,4.08402,-22.7985,0.000797051,-0,-0,-0.719225,-0.00033044,0.128879,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-2.46565,-3.07323,2.15244,0.471387,1.45387,-0.689579,1439424588296,-1,0,0,-0.719225,0,1,0,-0.00033044,0,0,-1,0.128879
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.39628,4.33147,-22.6395,3.38162,-2.71285,0.385686,-0.71949,-0.000320542,0.128884,-0.718428,-0.000331249,0.128881,-0.967912,0,0,4.91232,4.08402,-22.7985,0.000796791,-0,-0,-0.719225,-0.00033044,0.12888,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-2.47691,-3.06315,2.12466,0.47014,1.45219,-0.688238,1439424588298,-1,0,0,-0.719225,0,1,0,-0.00033044,0,0,-1,0.12888
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.40313,4.32998,-22.6364,3.38115,-2.7132,0.386659,-0.71949,-0.000320542,0.128884,-0.718428,-0.000331249,0.128881,-0.981615,0,0,4.91232,4.08402,-22.7985,0.000798162,-0,-0,-0.719226,-0.000330439,0.12888,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-2.47609,-3.10621,2.12972,0.478263,1.45254,-0.702406,1439424588300,-1,0,0,-0.719226,0,1,0,-0.000330439,0,0,-1,0.12888
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.40369,4.32907,-22.6346,3.38081,-2.71309,0.386795,-0.71949,-0.000320542,0.128884,-0.71844,-0.000337772,0.128894,-0.98274,0,0,4.91232,4.08402,-22.7985,0.000798274,-0,-0,-0.719239,-0.000336969,0.128893,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-2.54129,-2.96318,2.3003,0.449861,1.4857,-0.657224,1439424588302,-1,0,0,-0.719239,0,1,0,-0.000336969,0,0,-1,0.128893
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.38685,4.32979,-22.6383,3.38129,-2.71218,0.38469,-0.71949,-0.000320542,0.128884,-0.718486,-0.000356802,0.128943,-0.949056,0,0,4.91232,4.08402,-22.7985,0.000794906,-0,-0,-0.719281,-0.00035602,0.128942,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-2.58572,-2.90047,2.49977,0.439393,1.51927,-0.649899,1439424588304,-1,0,0,-0.719281,0,1,0,-0.00035602,0,0,-1,0.128942
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.31506,4.3302,-22.641,3.38171,-2.70727,0.375729,-0.71949,-0.000320542,0.128884,-0.718533,-0.000374648,0.12899,-0.80547,0,0,4.91232,4.08402,-22.7985,0.000780547,-0,-0,-0.719313,-0.000373896,0.128989,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-2.45813,-3.05579,2.07402,0.470326,1.44467,-0.696869,1439424588306,-1,0,0,-0.719313,0,1,0,-0.000373896,0,0,-1,0.128989
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.15071,4.34933,-22.6113,3.37945,-2.69313,0.353469,-0.71949,-0.000320542,0.128884,-0.718559,-0.000385842,0.129011,-0.476786,0,0,4.91232,4.08402,-22.7985,0.000747679,-0,-0,-0.719307,-0.000385135,0.12901,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-2.33829,-3.22217,1.62922,0.501987,1.37111,-0.735487,1439424588308,-1,0,0,-0.719307,0,1,0,-0.000385135,0,0,-1,0.12901
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.02579,4.37476,-22.5622,3.37533,-2.68056,0.335353,-0.71949,-0.000320542,0.128884,-0.718576,-0.00038914,0.129016,-0.226934,0,0,4.91232,4.08402,-22.7985,0.000722693,-0,-0,-0.719298,-0.00038846,0.129016,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-2.32817,-3.20263,1.72984,0.495659,1.38738,-0.714102,1439424588310,-1,0,0,-0.719298,0,1,0,-0.00038846,0,0,-1,0.129016
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.07637,4.38242,-22.53,3.37224,-2.68232,0.340522,-0.71949,-0.000320542,0.128884,-0.718599,-0.000391841,0.129029,-0.328105,0,0,4.91232,4.08402,-22.7985,0.00073281,-0,-0,-0.719332,-0.000391152,0.129029,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-2.33584,-3.01609,2.14694,0.458596,1.44521,-0.656951,1439424588312,-1,0,0,-0.719332,0,1,0,-0.000391152,0,0,-1,0.129029
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.22394,4.36941,-22.5246,3.37124,-2.69302,0.359261,-0.71949,-0.000320542,0.128884,-0.718636,-0.000398296,0.129057,-0.623232,0,0,4.91232,4.08402,-22.7985,0.000762323,-0,-0,-0.719398,-0.000397584,0.129057,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-2.32824,-2.98625,2.38719,0.453305,1.47453,-0.65984,1439424588315,-1,0,0,-0.719398,0,1,0,-0.000397584,0,0,-1,0.129057
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.28848,4.34713,-22.5477,3.37327,-2.69957,0.368018,-0.71949,-0.000320542,0.128884,-0.718684,-0.000406813,0.129092,-0.752321,0,0,4.91232,4.08402,-22.7985,0.000775232,-0,-0,-0.719459,-0.000406096,0.129091,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-2.39454,-3.05913,2.30394,0.466373,1.47607,-0.684376,1439424588317,-1,0,0,-0.719459,0,1,0,-0.000406096,0,0,-1,0.129091
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.22304,4.32524,-22.5919,3.3779,-2.69843,0.360287,-0.71949,-0.000320542,0.128884,-0.718734,-0.000415575,0.129126,-0.621439,0,0,4.91232,4.08402,-22.7985,0.000762144,-0,-0,-0.719496,-0.00041488,0.129126,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-2.37752,-3.08967,2.13097,0.472822,1.4534,-0.690268,1439424588319,-1,0,0,-0.719496,0,1,0,-0.00041488,0,0,-1,0.129126
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.14908,4.30561,-22.6341,3.38246,-2.69674,0.351305,-0.71949,-0.000320542,0.128884,-0.718784,-0.000421933,0.129158,-0.473513,0,0,4.91232,4.08402,-22.7985,0.000747351,-0,-0,-0.719532,-0.000421257,0.129158,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-2.33245,-3.08634,2.09418,0.473039,1.44471,-0.687256,1439424588321,-1,0,0,-0.719532,0,1,0,-0.000421257,0,0,-1,0.129158
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.15002,4.29535,-22.6412,3.38339,-2.69793,0.350934,-0.71949,-0.000320542,0.128884,-0.718833,-0.000429123,0.129189,-0.47539,0,0,4.91232,4.08402,-22.7985,0.000747539,-0,-0,-0.71958,-0.000428455,0.129189,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-2.29108,-3.06194,2.05715,0.469852,1.43418,-0.682083,1439424588323,-1,0,0,-0.71958,0,1,0,-0.000428455,0,0,-1,0.129189
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.18978,4.29328,-22.6218,3.38173,-2.69997,0.354621,-0.71949,-0.000320542,0.128884,-0.718885,-0.00043701,0.129222,-0.554913,0,0,4.91232,4.08402,-22.7985,0.000755491,-0,-0,-0.71964,-0.000436342,0.129222,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-2.37076,-3.03328,2.00053,0.464854,1.44193,-0.67529,1439424588325,-1,0,0,-0.71964,0,1,0,-0.000436342,0,0,-1,0.129222
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.22678,4.28505,-22.6131,3.381,-2.70259,0.358342,-0.71949,-0.000320542,0.128884,-0.718941,-0.00044583,0.12926,-0.628918,0,0,4.91232,4.08402,-22.7985,0.000762892,-0,-0,-0.719704,-0.000445164,0.12926,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-2.359,-3.07713,2.03186,0.473892,1.44291,-0.692707,1439424588327,-1,0,0,-0.719704,0,1,0,-0.000445164,0,0,-1,0.12926
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.22928,4.27252,-22.6232,3.38233,-2.70407,0.35806,-0.71949,-0.000320542,0.128884,-0.719001,-0.00045464,0.129301,-0.633911,0,0,4.91232,4.08402,-22.7985,0.000763391,-0,-0,-0.719764,-0.000453983,0.129302,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-2.26107,-3.14173,2.17432,0.48548,1.44258,-0.712372,1439424588329,-1,0,0,-0.719764,0,1,0,-0.000453983,0,0,-1,0.129302
