Dsr Loads, , , , , , Msr Loads, , , , , , Dsr Pos, , , Msr Pos, , , Preprocessing PID Computed, , , PID Setpoints, , , Post Processing PID Computed, , , Next Pos, , , Axis, Sign, Point, PID-P, , , Deadbands Lower (0) and Upper (1), , , , , , LWR External, , , , , ,Timestamp, Cartesian Frame
Fx, Fy, Fz, Mx, My, Mz, Fx, Fy, Fz, Mx, My, Mz, Px, Py, Pz, Px, Py, Pz, PIDx, PIDy, PIDz, Fx, Fy, Fz, PIDx, PIDy, PIDz, Px, Py, Pz, Sign, Axis, Point, PIDx-P, PIDy-P, PIDz-P, DeadFx[0], DeadFx[1], DeadFy[0], DeadFy[1], DeadFz[0], DeadFz[1], Fx, Fy, Fz, Mx, My, Mz, t[s], T(0 0), T(0 1), T(0 2), T(0 3), T(1 0), T(1 1), T(1 2), T(1 3), T(2 0), T(2 1), T(2 2), T(2 3)
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.50135,4.39191,-22.5808,3.36704,-2.71095,0.408016,-0.71949,-0.000320542,0.128884,-0.718498,-0.000324297,0.12888,-1,0,0,4.91232,4.08402,-22.7985,0.0008,-0,-0,-0.719298,-0.00032488,0.12888,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.57686,-3.18054,1.88895,0.323986,1.03654,-0.522901,1439424622193,-1,0,0,-0.719298,0,1,0,-0.00032488,0,0,-1,0.12888
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.51287,4.38692,-22.5869,3.36745,-2.71226,0.409766,-0.71949,-0.000320542,0.128884,-0.718499,-0.000324296,0.128883,-1,0,0,4.91232,4.08402,-22.7985,0.0008,-0,-0,-0.719299,-0.000324879,0.128883,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.57092,-3.15249,1.94669,0.318213,1.04263,-0.513079,1439424622195,-1,0,0,-0.719299,0,1,0,-0.000324879,0,0,-1,0.128883
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.52534,4.38728,-22.5931,3.36834,-2.71365,0.4112,-0.71949,-0.000320542,0.128884,-0.718499,-0.000324296,0.128884,-1,0,0,4.91232,4.08402,-22.7985,0.0008,-0,-0,-0.719299,-0.000324879,0.128884,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.56981,-3.13742,1.92866,0.31568,1.04009,-0.509565,1439424622198,-1,0,0,-0.719299,0,1,0,-0.000324879,0,0,-1,0.128884
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.525,4.39549,-22.5883,3.36846,-2.71328,0.410375,-0.71949,-0.000320542,0.128884,-0.718509,-0.00031965,0.128893,-1,0,0,4.91232,4.08402,-22.7985,0.0008,-0,-0,-0.719309,-0.000320226,0.128893,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.63635,-3.20364,2.02569,0.326951,1.06445,-0.530507,1439424622199,-1,0,0,-0.719309,0,1,0,-0.000320226,0,0,-1,0.128893
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.52915,4.4006,-22.5837,3.36838,-2.71328,0.410454,-0.71949,-0.000320542,0.128884,-0.718546,-0.000303582,0.128929,-1,0,0,4.91232,4.08402,-22.7985,0.0008,-0,-0,-0.719346,-0.000304145,0.128929,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.74662,-3.25796,2.14051,0.33291,1.09937,-0.540543,1439424622201,-1,0,0,-0.719346,0,1,0,-0.000304145,0,0,-1,0.128929
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.51421,4.39483,-22.5678,3.36607,-2.71096,0.408987,-0.71949,-0.000320542,0.128884,-0.718581,-0.000285404,0.128963,-1,0,0,4.91232,4.08402,-22.7985,0.0008,-0,-0,-0.719381,-0.000285949,0.128963,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.63868,-3.16428,1.80029,0.315813,1.03828,-0.507567,1439424622203,-1,0,0,-0.719381,0,1,0,-0.000285949,0,0,-1,0.128963
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.3878,4.39291,-22.5473,3.36352,-2.70012,0.393049,-0.71949,-0.000320542,0.128884,-0.718603,-0.000274431,0.128979,-0.95097,0,0,4.91232,4.08402,-22.7985,0.000795097,-0,-0,-0.719399,-0.000274966,0.128979,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.53611,-3.02207,1.49029,0.29414,0.98489,-0.467421,1439424622205,-1,0,0,-0.719399,0,1,0,-0.000274966,0,0,-1,0.128979
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.23781,4.39294,-22.5348,3.36221,-2.68835,0.373792,-0.71949,-0.000320542,0.128884,-0.718613,-0.000271161,0.128981,-0.650976,0,0,4.91232,4.08402,-22.7985,0.000765098,-0,-0,-0.719378,-0.000271675,0.128981,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.47293,-2.97565,1.59391,0.290961,0.992666,-0.464118,1439424622207,-1,0,0,-0.719378,0,1,0,-0.000271675,0,0,-1,0.128981
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.22392,4.38765,-22.5252,3.36103,-2.68696,0.371901,-0.71949,-0.000320542,0.128884,-0.718622,-0.000271583,0.128981,-0.623208,0,0,4.91232,4.08402,-22.7985,0.000762321,-0,-0,-0.719384,-0.000272095,0.128981,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.4544,-3.04936,1.87128,0.306449,1.02892,-0.495754,1439424622209,-1,0,0,-0.719384,0,1,0,-0.000272095,0,0,-1,0.128981
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.33498,4.37928,-22.5189,3.36025,-2.69488,0.385745,-0.71949,-0.000320542,0.128884,-0.718641,-0.000271869,0.128996,-0.845325,0,-6.71132e-005,4.91232,4.08402,-22.7985,0.000784533,-0,6.71132e-005,-0.719426,-0.000272443,0.128929,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.4875,-3.11111,2.17186,0.314947,1.0755,-0.51547,1439424622211,-1,0,0,-0.719426,0,1,0,-0.000272443,0,0,-1,0.128929
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.42986,4.37757,-22.5112,3.3599,-2.70137,0.396843,-0.71949,-0.000320542,0.128884,-0.718673,-0.000269545,0.129022,-1,0,-6.89456e-005,4.91232,4.08402,-22.7985,0.0008,-0,6.89456e-005,-0.719473,-0.000270128,0.128953,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.58903,-3.18348,2.11984,0.325062,1.08846,-0.532152,1439424622213,-1,0,0,-0.719473,0,1,0,-0.000270128,0,0,-1,0.128953
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.42102,4.38136,-22.5102,3.36079,-2.7009,0.394353,-0.71949,-0.000320542,0.128884,-0.718709,-0.000267039,0.129049,-1,0,-6.92006e-005,4.91232,4.08402,-22.7985,0.0008,-0,6.92006e-005,-0.71951,-0.000267621,0.12898,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.60908,-3.10707,1.89956,0.309982,1.06615,-0.50122,1439424622216,-1,0,0,-0.71951,0,1,0,-0.000267621,0,0,-1,0.12898
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.36141,4.37825,-22.5244,3.36306,-2.698,0.386003,-0.71949,-0.000320542,0.128884,-0.718742,-0.000264337,0.129071,-0.898176,0,0,4.91232,4.08402,-22.7985,0.000789818,-0,-0,-0.719532,-0.000264859,0.129071,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.5144,-3.10746,1.86404,0.312047,1.04786,-0.502765,1439424622217,-1,0,0,-0.719532,0,1,0,-0.000264859,0,0,-1,0.129071
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.3186,4.37071,-22.5381,3.36497,-2.69631,0.380066,-0.71949,-0.000320542,0.128884,-0.718766,-0.000261187,0.129082,-0.812567,0,0,4.91232,4.08402,-22.7985,0.000781257,-0,-0,-0.719547,-0.000261702,0.129082,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.48859,-3.14247,1.79193,0.320059,1.03859,-0.514278,1439424622219,-1,0,0,-0.719547,0,1,0,-0.000261702,0,0,-1,0.129082
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.31219,4.36475,-22.5376,3.36523,-2.69629,0.378469,-0.71949,-0.000320542,0.128884,-0.71879,-0.000260927,0.129092,-0.799747,0,0,4.91232,4.08402,-22.7985,0.000779975,-0,-0,-0.71957,-0.000261439,0.129093,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.61629,-3.04756,1.78662,0.302825,1.06513,-0.486271,1439424622221,-1,0,0,-0.71957,0,1,0,-0.000261439,0,0,-1,0.129093
