Dsr Loads, , , , , , Msr Loads, , , , , , Dsr Pos, , , Msr Pos, , , Preprocessing PID Computed, , , PID Setpoints, , , Post Processing PID Computed, , , Next Pos, , , Axis, Sign, Point, PID-P, , , Deadbands Lower (0) and Upper (1), , , , , , LWR External, , , , , ,Timestamp, Cartesian Frame
Fx, Fy, Fz, Mx, My, Mz, Fx, Fy, Fz, Mx, My, Mz, Px, Py, Pz, Px, Py, Pz, PIDx, PIDy, PIDz, Fx, Fy, Fz, PIDx, PIDy, PIDz, Px, Py, Pz, Sign, Axis, Point, PIDx-P, PIDy-P, PIDz-P, DeadFx[0], DeadFx[1], DeadFy[0], DeadFy[1], DeadFz[0], DeadFz[1], Fx, Fy, Fz, Mx, My, Mz, t[s], T(0 0), T(0 1), T(0 2), T(0 3), T(1 0), T(1 1), T(1 2), T(1 3), T(2 0), T(2 1), T(2 2), T(2 3)
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.55845,4.40819,-22.4835,3.35231,-2.70717,0.416313,-0.71949,-0.000320542,0.128884,-0.718457,-0.000287295,0.128906,-1,0,-7.56056e-005,4.91232,4.08402,-22.7985,0.0008,-0,7.56056e-005,-0.719257,-0.000287996,0.12883,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.90546,-3.20898,1.95528,0.382773,1.16802,-0.609671,1439424248989,-1,0,0,-0.719257,0,1,0,-0.000287996,0,0,-1,0.12883
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.55171,4.41169,-22.4776,3.35184,-2.70617,0.415165,-0.71949,-0.000320542,0.128884,-0.718457,-0.000287295,0.128906,-1,0,-7.70224e-005,4.91232,4.08402,-22.7985,0.0008,-0,7.70224e-005,-0.719257,-0.000287997,0.128828,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.91859,-3.20809,1.94453,0.382585,1.16915,-0.609918,1439424248991,-1,0,0,-0.719257,0,1,0,-0.000287997,0,0,-1,0.128828
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.55709,4.41092,-22.4686,3.35066,-2.70597,0.415886,-0.71949,-0.000320542,0.128884,-0.718457,-0.000287295,0.128907,-1,0,-7.91743e-005,4.91232,4.08402,-22.7985,0.0008,-0,7.91743e-005,-0.719257,-0.000287998,0.128827,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.89741,-3.21069,1.98938,0.383017,1.17077,-0.611415,1439424248993,-1,0,0,-0.719257,0,1,0,-0.000287998,0,0,-1,0.128827
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.5579,4.41241,-22.4615,3.34985,-2.70552,0.415882,-0.71949,-0.000320542,0.128884,-0.718465,-0.000282485,0.128914,-1,0,-8.08891e-005,4.91232,4.08402,-22.7985,0.0008,-0,8.08891e-005,-0.719265,-0.000283184,0.128832,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.98184,-3.34007,2.03008,0.406027,1.19135,-0.651533,1439424248995,-1,0,0,-0.719265,0,1,0,-0.000283184,0,0,-1,0.128832
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.55299,4.41172,-22.4663,3.35039,-2.70558,0.415338,-0.71949,-0.000320542,0.128884,-0.718496,-0.000265306,0.128945,-1,0,-7.97273e-005,4.91232,4.08402,-22.7985,0.0008,-0,7.97273e-005,-0.719296,-0.000265988,0.128864,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-2.0657,-3.38016,2.10926,0.408545,1.21714,-0.653534,1439424248997,-1,0,0,-0.719296,0,1,0,-0.000265988,0,0,-1,0.128864
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.55509,4.40258,-22.4631,3.34931,-2.70564,0.416354,-0.71949,-0.000320542,0.128884,-0.718523,-0.00025055,0.128969,-1,0,-8.04927e-005,4.91232,4.08402,-22.7985,0.0008,-0,8.04927e-005,-0.719323,-0.000251219,0.128887,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.89952,-3.13185,1.85876,0.363611,1.15537,-0.574212,1439424248999,-1,0,0,-0.719323,0,1,0,-0.000251219,0,0,-1,0.128887
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.50658,4.38999,-22.4493,3.34671,-2.70103,0.411233,-0.71949,-0.000320542,0.128884,-0.71854,-0.000244585,0.128981,-1,0,-8.38152e-005,4.91232,4.08402,-22.7985,0.0008,-0,8.38152e-005,-0.71934,-0.000245251,0.128897,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.84454,-3.0315,1.63084,0.351856,1.12112,-0.556928,1439424249001,-1,0,0,-0.71934,0,1,0,-0.000245251,0,0,-1,0.128897
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.38932,4.37929,-22.4372,3.3445,-2.69155,0.397187,-0.71949,-0.000320542,0.128884,-0.718551,-0.000246796,0.128985,-0.954003,0,-8.67146e-005,4.91232,4.08402,-22.7985,0.0007954,-0,8.67146e-005,-0.719347,-0.000247465,0.128898,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.85293,-3.1423,1.69188,0.377659,1.13598,-0.605322,1439424249003,-1,0,0,-0.719347,0,1,0,-0.000247465,0,0,-1,0.128898
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.42876,4.37349,-22.4096,3.34247,-2.69353,0.399969,-0.71949,-0.000320542,0.128884,-0.718632,-0.00024528,0.129048,-1,0,-9.33284e-005,4.91232,4.08402,-22.7985,0.0008,-0,9.33284e-005,-0.719432,-0.000245955,0.128954,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.91484,-3.25613,2.06372,0.392493,1.20172,-0.633711,1439424249011,-1,0,0,-0.719432,0,1,0,-0.000245955,0,0,-1,0.128954
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.42876,4.37349,-22.4096,3.34247,-2.69353,0.399969,-0.71949,-0.000320542,0.128884,-0.718673,-0.000242632,0.129078,-1,0,-9.33284e-005,4.91232,4.08402,-22.7985,0.0008,-0,9.33284e-005,-0.719473,-0.000243305,0.128985,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.87106,-3.27495,1.92433,0.396107,1.17794,-0.635795,1439424249011,-1,0,0,-0.719473,0,1,0,-0.000243305,0,0,-1,0.128985
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.37928,4.37924,-22.4114,3.34389,-2.69043,0.392134,-0.71949,-0.000320542,0.128884,-0.718713,-0.000239986,0.129108,-0.933918,0,-9.29013e-005,4.91232,4.08402,-22.7985,0.000793392,-0,9.29013e-005,-0.719507,-0.000240652,0.129014,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.80175,-3.23886,1.91754,0.390132,1.16863,-0.62149,1439424249013,-1,0,0,-0.719507,0,1,0,-0.000240652,0,0,-1,0.129014
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.32001,4.38012,-22.4169,3.34548,-2.68697,0.383338,-0.71949,-0.000320542,0.128884,-0.71875,-0.00023751,0.129133,-0.815377,0,-9.15811e-005,4.91232,4.08402,-22.7985,0.000781538,-0,9.15811e-005,-0.719531,-0.000238163,0.129042,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.7665,-3.18915,1.92834,0.382415,1.16766,-0.6081,1439424249015,-1,0,0,-0.719531,0,1,0,-0.000238163,0,0,-1,0.129042
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.29753,4.37833,-22.4266,3.34747,-2.68665,0.379255,-0.71949,-0.000320542,0.128884,-0.71879,-0.000236639,0.129162,-0.770416,0,-8.92552e-005,4.91232,4.08402,-22.7985,0.000777042,-0,8.92552e-005,-0.719567,-0.000237287,0.129072,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.84264,-3.17842,1.94318,0.381452,1.18629,-0.609421,1439424249017,-1,0,0,-0.719567,0,1,0,-0.000237287,0,0,-1,0.129072
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.32459,4.37195,-22.4292,3.34831,-2.68941,0.381598,-0.71949,-0.000320542,0.128884,-0.718834,-0.000237406,0.129192,-0.824533,0,-8.86349e-005,4.91232,4.08402,-22.7985,0.000782453,-0,8.86349e-005,-0.719617,-0.000238058,0.129104,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.87407,-3.16842,1.95314,0.380188,1.19471,-0.609683,1439424249019,-1,0,0,-0.719617,0,1,0,-0.000238058,0,0,-1,0.129104
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.36856,4.36287,-22.4238,3.34796,-2.69278,0.386192,-0.71949,-0.000320542,0.128884,-0.718881,-0.000235753,0.129225,-0.91247,0,-8.99281e-005,4.91232,4.08402,-22.7985,0.000791247,-0,8.99281e-005,-0.719673,-0.000236409,0.129135,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.81356,-3.23665,1.98215,0.393025,1.18794,-0.631221,1439424249021,-1,0,0,-0.719673,0,1,0,-0.000236409,0,0,-1,0.129135
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.38147,4.35016,-22.4278,3.34851,-2.69461,0.38712,-0.71949,-0.000320542,0.128884,-0.71893,-0.000235694,0.129259,-0.938298,0,-8.89668e-005,4.91232,4.08402,-22.7985,0.00079383,-0,8.89668e-005,-0.719724,-0.000236351,0.12917,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.82301,-3.19431,1.9466,0.385103,1.18763,-0.616132,1439424249023,-1,0,0,-0.719724,0,1,0,-0.000236351,0,0,-1,0.12917
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.34281,4.33428,-22.4523,3.35144,-2.69417,0.381787,-0.71949,-0.000320542,0.128884,-0.718977,-0.000233757,0.129289,-0.86098,0,-8.30956e-005,4.91232,4.08402,-22.7985,0.000786098,-0,8.30956e-005,-0.719763,-0.000234403,0.129206,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.83899,-3.18366,1.88094,0.384149,1.18486,-0.612355,1439424249025,-1,0,0,-0.719763,0,1,0,-0.000234403,0,0,-1,0.129206
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.283,4.32064,-22.4797,3.35492,-2.6924,0.373582,-0.71949,-0.000320542,0.128884,-0.719022,-0.00023213,0.129318,-0.741351,0,-7.6517e-005,4.91232,4.08402,-22.7985,0.000774135,-0,7.6517e-005,-0.719796,-0.00023276,0.129242,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.84344,-3.18008,1.88389,0.385459,1.1879,-0.615992,1439424249027,-1,0,0,-0.719796,0,1,0,-0.00023276,0,0,-1,0.129242
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.26222,4.30917,-22.4984,3.35751,-2.69295,0.370115,-0.71949,-0.000320542,0.128884,-0.719068,-0.000231158,0.129348,-0.699793,0,-7.20232e-005,4.91232,4.08402,-22.7985,0.000769979,-0,7.20232e-005,-0.719838,-0.00023178,0.129277,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.82899,-3.21086,1.93042,0.392478,1.19176,-0.630024,1439424249029,-1,0,0,-0.719838,0,1,0,-0.00023178,0,0,-1,0.129277
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.29491,4.29569,-22.5084,3.35884,-2.69678,0.37352,-0.71949,-0.000320542,0.128884,-0.719117,-0.000230171,0.129381,-0.765177,0,-6.96332e-005,4.91232,4.08402,-22.7985,0.000776518,-0,6.96332e-005,-0.719894,-0.000230795,0.129312,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.82566,-3.209,1.96002,0.392164,1.19473,-0.629937,1439424249031,-1,0,0,-0.719894,0,1,0,-0.000230795,0,0,-1,0.129312
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.30316,4.27457,-22.513,3.36001,-2.699,0.372571,-0.71949,-0.000320542,0.128884,-0.719166,-0.000229197,0.129414,-0.781686,0,-6.8513e-005,4.91232,4.08402,-22.7985,0.000778169,-0,6.8513e-005,-0.719944,-0.000229821,0.129347,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.78025,-3.1905,2.02658,0.389887,1.19526,-0.626868,1439424249034,-1,0,0,-0.719944,0,1,0,-0.000229821,0,0,-1,0.129347
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.30316,4.27457,-22.513,3.36001,-2.699,0.372571,-0.71949,-0.000320542,0.128884,-0.719212,-0.0002265,0.129448,-0.781686,0,-6.8513e-005,4.91232,4.08402,-22.7985,0.000778169,-0,6.8513e-005,-0.71999,-0.000227121,0.129381,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.72022,-3.22664,2.05118,0.3982,1.18836,-0.640035,1439424249035,-1,0,0,-0.71999,0,1,0,-0.000227121,0,0,-1,0.129381
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.25737,4.26112,-22.5308,3.3623,-2.6977,0.366065,-0.71949,-0.000320542,0.128884,-0.719251,-0.000224609,0.129477,-0.690104,0,0,4.91232,4.08402,-22.7985,0.00076901,-0,-0,-0.72002,-0.00022517,0.129478,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.68499,-3.22954,1.99121,0.400359,1.17536,-0.641467,1439424249037,-1,0,0,-0.72002,0,1,0,-0.00022517,0,0,-1,0.129478
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.21838,4.24341,-22.5627,3.36603,-2.69797,0.360798,-0.71949,-0.000320542,0.128884,-0.719287,-0.000222737,0.129503,-0.612116,0,0,4.91232,4.08402,-22.7985,0.000761212,-0,-0,-0.720048,-0.00022329,0.129504,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.70884,-3.18606,1.99545,0.3936,1.18126,-0.630502,1439424249039,-1,0,0,-0.720048,0,1,0,-0.00022329,0,0,-1,0.129504
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.22559,4.2248,-22.5791,3.36771,-2.70046,0.361424,-0.71949,-0.000320542,0.128884,-0.719321,-0.000219939,0.129531,-0.626536,0,0,4.91232,4.08402,-22.7985,0.000762654,-0,-0,-0.720084,-0.000220489,0.129532,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.71089,-3.1614,2.02709,0.390538,1.18489,-0.62743,1439424249041,-1,0,0,-0.720084,0,1,0,-0.000220489,0,0,-1,0.129532
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.26287,4.21673,-22.5753,3.36756,-2.70355,0.365087,-0.71949,-0.000320542,0.128884,-0.719358,-0.000218054,0.129562,-0.701092,0,0,4.91232,4.08402,-22.7985,0.000770109,-0,-0,-0.720128,-0.000218608,0.129564,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.74211,-3.16825,2.06092,0.392998,1.1941,-0.633564,1439424249043,-1,0,0,-0.720128,0,1,0,-0.000218608,0,0,-1,0.129564
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.28589,4.21262,-22.5663,3.36699,-2.7051,0.366764,-0.71949,-0.000320542,0.128884,-0.719397,-0.000216182,0.129598,-0.747136,0,0,4.91232,4.08402,-22.7985,0.000774714,-0,-0,-0.720171,-0.000216738,0.129599,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.65439,-3.22592,2.16026,0.404502,1.18858,-0.653224,1439424249045,-1,0,0,-0.720171,0,1,0,-0.000216738,0,0,-1,0.129599
4.91232,4.08402,-22.7985,3.41351,-2.70265,0.305384,5.26601,4.20792,-22.5631,3.36701,-2.70396,0.363223,-0.71949,-0.000320542,0.128884,-0.719434,-0.000214311,0.129632,-0.707376,0,0,4.91232,4.08402,-22.7985,0.000770738,-0,-0,-0.720205,-0.000214862,0.129634,0,0,0,100,20,20,4.91232,5.54252,4.08402,4.43504,-22.7985,-22.5201,-1.64515,-3.20631,2.04711,0.401883,1.17104,-0.645348,1439424249047,-1,0,0,-0.720205,0,1,0,-0.000214862,0,0,-1,0.129634
