Dsr Loads, , , , , , Msr Loads, , , , , , Dsr Pos, , , Msr Pos, , , Preprocessing PID Computed, , , PID Setpoints, , , Post Processing PID Computed, , , Next Pos, , , Axis, Sign, Point, PID-P, , , Deadbands Lower (0) and Upper (1), , , , , , LWR External, , , , , ,Timestamp, Cartesian Frame
Fx, Fy, Fz, Mx, My, Mz, Fx, Fy, Fz, Mx, My, Mz, Px, Py, Pz, Px, Py, Pz, PIDx, PIDy, PIDz, Fx, Fy, Fz, PIDx, PIDy, PIDz, Px, Py, Pz, Sign, Axis, Point, PIDx-P, PIDy-P, PIDz-P, DeadFx[0], DeadFx[1], DeadFy[0], DeadFy[1], DeadFz[0], DeadFz[1], Fx, Fy, Fz, Mx, My, Mz, t[s], T(0 0), T(0 1), T(0 2), T(0 3), T(1 0), T(1 1), T(1 2), T(1 3), T(2 0), T(2 1), T(2 2), T(2 3)
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.7702,4.54316,-22.1756,3.31452,-2.6968,0.447348,-0.718514,0.000617099,0.128887,-0.718508,-0.000291092,0.128884,-0.000146622,-0.304481,-7.91469e-005,5.15927,4.39092,-22.5054,0.000146622,0.000530448,7.91469e-005,-0.718655,0.000238903,0.128804,0,1,0,20,100,20,5.15927,5.60774,4.39092,4.45659,-22.5054,-22.373,-2.06641,-3.77581,1.69244,0.491732,1.1048,-0.637964,1439420520621,-1,0,0,-0.718655,0,1,0,0.000238903,0,0,-1,0.128804
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.73626,4.49929,-22.203,3.31493,-2.69637,0.446184,-0.718514,0.000617099,0.128887,-0.718508,-0.000259744,0.128884,-0.000138478,-0.216739,-7.25697e-005,5.15927,4.39092,-22.5054,0.000138478,0.000521674,7.25697e-005,-0.718647,0.000261519,0.12881,0,1,0,20,100,20,5.15927,5.60774,4.39092,4.45659,-22.5054,-22.373,-2.09046,-3.43855,1.65936,0.437403,1.10581,-0.558095,1439420520623,-1,0,0,-0.718647,0,1,0,0.000261519,0,0,-1,0.12881
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.7039,4.45135,-22.2521,3.31791,-2.69787,0.445424,-0.718514,0.000617099,0.128887,-0.718508,-0.000246687,0.128884,-0.000130712,-0.120869,-6.07942e-005,5.15927,4.39092,-22.5054,0.000130712,0.000512087,6.07942e-005,-0.718639,0.000265034,0.128822,0,1,0,20,100,20,5.15927,5.60774,4.39092,4.45659,-22.5054,-22.373,-2.07015,-3.42412,1.70536,0.44571,1.10829,-0.587404,1439420520625,-1,0,0,-0.718639,0,1,0,0.000265034,0,0,-1,0.128822
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.66924,4.43085,-22.2724,3.31943,-2.69702,0.442026,-0.718514,0.000617099,0.128887,-0.718508,-0.000226616,0.128884,-0.000122394,-0.0798559,-5.59259e-005,5.15927,4.39092,-22.5054,0.000122394,0.000507986,5.59259e-005,-0.718631,0.00028104,0.128827,0,1,0,20,100,20,5.15927,5.60774,4.39092,4.45659,-22.5054,-22.373,-2.0396,-3.82806,1.76503,0.525822,1.10922,-0.727613,1439420520627,-1,0,0,-0.718631,0,1,0,0.00028104,0,0,-1,0.128827
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.62338,4.42838,-22.2583,3.31817,-2.69291,0.435496,-0.718514,0.000617099,0.128887,-0.718508,-0.000146771,0.128883,-0.000111385,-0.0749102,-5.9306e-005,5.15927,4.39092,-22.5054,0.000111385,0.000507491,5.9306e-005,-0.718621,0.00036043,0.128823,0,1,0,20,100,20,5.15927,5.60774,4.39092,4.45659,-22.5054,-22.373,-2.08475,-4.46954,1.68367,0.636731,1.10627,-0.894815,1439420520629,-1,0,0,-0.718621,0,1,0,0.00036043,0,0,-1,0.128823
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.62181,4.42564,-22.2205,3.31408,-2.6903,0.434269,-0.718514,0.000617099,0.128887,-0.718508,-4.63801e-005,0.128882,-0.00011101,-0.0694389,-6.83803e-005,5.15927,4.39092,-22.5054,0.00011101,0.000506944,6.83803e-005,-0.71862,0.00046029,0.128813,0,1,0,20,100,20,5.15927,5.60774,4.39092,4.45659,-22.5054,-22.373,-2.11217,-4.13991,1.61116,0.56624,1.10282,-0.756516,1439420520631,-1,0,0,-0.71862,0,1,0,0.00046029,0,0,-1,0.128813
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.63226,4.38489,-22.22,3.31229,-2.69153,0.437067,-0.718514,0.000617099,0.128887,-0.718508,4.06679e-005,0.128882,-0.000113518,0.0120564,-6.84975e-005,5.15927,4.39092,-22.5054,0.000113518,0.0005,6.84975e-005,-0.71862,0.00046029,0.128813
4.73019,4.00619,-22.6972,3.41273,-2.68756,0.268338,5.61937,4.31967,-22.2849,3.31726,-2.69615,0.438524,-0.718524,0.00165133,0.12887,-0.718508,9.62039e-005,0.128882,-0.000213403,-0.626954,-9.89507e-005,4.73019,4.00619,-22.6972,0.000213403,0.000562695,9.89507e-005,-0.718722,0.000658528,0.128782,0,1,1,20,100,20,4.73019,5.15927,4.00619,4.39092,-22.6972,-22.5054,-2.06625,-3.25804,1.67607,0.424074,1.10507,-0.5472,1439420520635,-1,0,0,-0.718722,0,1,0,0.000658528,0,0,-1,0.128782
4.73019,4.00619,-22.6972,3.41273,-2.68756,0.268338,5.57587,4.27674,-22.3488,3.32399,-2.6984,0.43405,-0.718524,0.00165133,0.12887,-0.718508,0.000134195,0.128882,-0.000202964,-0.541091,-8.3605e-005,4.73019,4.00619,-22.6972,0.000202964,0.000554109,8.3605e-005,-0.718712,0.000688003,0.128797,0,1,1,20,100,20,4.73019,5.15927,4.00619,4.39092,-22.6972,-22.5054,-2.03397,-3.48723,1.73209,0.477851,1.1068,-0.653563,1439420520637,-1,0,0,-0.718712,0,1,0,0.000688003,0,0,-1,0.128797
4.73019,4.00619,-22.6972,3.41273,-2.68756,0.268338,5.52559,4.27706,-22.361,3.32765,-2.69652,0.425009,-0.718524,0.00165133,0.12887,-0.718508,0.000169028,0.128882,-0.000190896,-0.541749,-8.06914e-005,4.73019,4.00619,-22.6972,0.000190896,0.000554175,8.06914e-005,-0.7187,0.000722949,0.1288,0,1,1,20,100,20,4.73019,5.15927,4.00619,4.39092,-22.6972,-22.5054,-2.03385,-3.80787,1.7518,0.53901,1.10992,-0.753282,1439420520639,-1,0,0,-0.7187,0,1,0,0.000722949,0,0,-1,0.1288
