Dsr Loads, , , , , , Msr Loads, , , , , , Dsr Pos, , , Msr Pos, , , Preprocessing PID Computed, , , PID Setpoints, , , Post Processing PID Computed, , , Next Pos, , , Axis, Sign, Point, PID-P, , , Deadbands Lower (0) and Upper (1), , , , , , LWR External, , , , , ,Timestamp, Cartesian Frame
Fx, Fy, Fz, Mx, My, Mz, Fx, Fy, Fz, Mx, My, Mz, Px, Py, Pz, Px, Py, Pz, PIDx, PIDy, PIDz, Fx, Fy, Fz, PIDx, PIDy, PIDz, Px, Py, Pz, Sign, Axis, Point, PIDx-P, PIDy-P, PIDz-P, DeadFx[0], DeadFx[1], DeadFy[0], DeadFy[1], DeadFz[0], DeadFz[1], Fx, Fy, Fz, Mx, My, Mz, t[s], T(0 0), T(0 1), T(0 2), T(0 3), T(1 0), T(1 1), T(1 2), T(1 3), T(2 0), T(2 1), T(2 2), T(2 3)
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.6152,4.52737,-22.2951,3.34396,-2.7,0.412623,-0.718514,0.000617099,0.128887,-0.718552,-0.000334592,0.128875,-0.000109423,-0.272909,-5.04643e-005,5.15927,4.39092,-22.5054,0.000109423,0.000527291,5.04643e-005,-0.718662,0.00019254,0.128824,0,1,0,20,100,20,5.15927,5.60774,4.39092,4.45659,-22.5054,-22.373,-1.99283,-3.83878,1.70137,0.574986,1.04194,-0.882134,1439420679527,-1,0,0,-0.718662,0,1,0,0.00019254,0,0,-1,0.128824
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.60946,4.52628,-22.302,3.34474,-2.70011,0.411983,-0.718514,0.000617099,0.128887,-0.718552,-0.000334592,0.128875,-0.000108045,-0.270728,-4.88191e-005,5.15927,4.39092,-22.5054,0.000108045,0.000527073,4.88191e-005,-0.71866,0.000192325,0.128826,0,1,0,20,100,20,5.15927,5.60774,4.39092,4.45659,-22.5054,-22.373,-1.99831,-3.83069,1.71484,0.573284,1.0448,-0.878949,1439420679529,-1,0,0,-0.71866,0,1,0,0.000192325,0,0,-1,0.128826
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.6144,4.52513,-22.3041,3.34487,-2.7006,0.412704,-0.718514,0.000617099,0.128887,-0.718552,-0.000334591,0.128876,-0.000109231,-0.268411,-4.83032e-005,5.15927,4.39092,-22.5054,0.000109231,0.000526841,4.83032e-005,-0.718662,0.000192093,0.128827,0,1,0,20,100,20,5.15927,5.60774,4.39092,4.45659,-22.5054,-22.373,-1.97731,-3.81907,1.7259,0.571089,1.04212,-0.875728,1439420679531,-1,0,0,-0.718662,0,1,0,0.000192093,0,0,-1,0.128827
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.60736,4.52653,-22.3003,3.34449,-2.69969,0.411693,-0.718514,0.000617099,0.128887,-0.718554,-0.000315138,0.128878,0,-0.271218,-4.92302e-005,5.15927,4.39092,-22.5054,-0,0.000527122,4.92302e-005,-0.718555,0.00021193,0.128828,0,1,0,20,100,20,5.15927,5.60774,4.39092,4.45659,-22.5054,-22.373,-2.01855,-4.1159,1.69609,0.625612,1.04513,-0.966035,1439420679533,-1,0,0,-0.718555,0,1,0,0.00021193,0,0,-1,0.128828
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.59823,4.51546,-22.2997,3.34363,-2.699,0.411383,-0.718514,0.000617099,0.128887,-0.718558,-0.000232776,0.12888,0,-0.249084,-4.93735e-005,5.15927,4.39092,-22.5054,-0,0.000524908,4.93735e-005,-0.718559,0.000292082,0.12883,0,1,0,20,100,20,5.15927,5.60774,4.39092,4.45659,-22.5054,-22.373,-1.99721,-4.52659,1.71905,0.691608,1.04309,-1.05881,1439420679535,-1,0,0,-0.718559,0,1,0,0.000292082,0,0,-1,0.12883
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.62066,4.4781,-22.2882,3.3394,-2.6997,0.417061,-0.718514,0.000617099,0.128887,-0.718558,-0.000148822,0.128879,-0.000110733,-0.174352,-5.21274e-005,5.15927,4.39092,-22.5054,0.000110733,0.000517435,5.21274e-005,-0.718669,0.000368485,0.128826,0,1,0,20,100,20,5.15927,5.60774,4.39092,4.45659,-22.5054,-22.373,-1.93992,-3.91253,1.66842,0.573565,1.02745,-0.852578,1439420679537,-1,0,0,-0.718669,0,1,0,0.000368485,0,0,-1,0.128826
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.61137,4.40462,-22.3147,3.33744,-2.70099,0.421375,-0.718514,0.000617099,0.128887,-0.718556,-9.93983e-005,0.128875,-0.000108505,-0.0274038,-4.57768e-005,5.15927,4.39092,-22.5054,0.000108505,0.00050274,4.57768e-005,-0.718665,0.00040323,0.128828,0,1,0,20,100,20,5.15927,5.60774,4.39092,4.45659,-22.5054,-22.373,-1.97368,-3.26254,1.60548,0.466448,1.02783,-0.695189,1439420679539,-1,0,0,-0.718665,0,1,0,0.00040323,0,0,-1,0.128828
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.56313,4.32662,-22.3851,3.34084,-2.70277,0.421005,-0.718514,0.000617099,0.128887,-0.718554,-8.81732e-005,0.128869,0,0.128596,0,5.15927,4.39092,-22.5054,-0,0.0005,-0,-0.718665,0.00040323,0.128828
4.73019,4.00619,-22.6972,3.41273,-2.68756,0.268338,5.51699,4.28647,-22.4281,3.34365,-2.7026,0.417817,-0.718524,0.00165133,0.12887,-0.718555,-9.55234e-005,0.12887,-0.000188833,-0.560569,-6.45868e-005,4.73019,4.00619,-22.6972,0.000188833,0.000556057,6.45868e-005,-0.718745,0.000460351,0.128805,0,1,1,20,100,20,4.73019,5.15927,4.00619,4.39092,-22.6972,-22.5054,-1.9009,-3.6078,1.88704,0.555867,1.0505,-0.889277,1439420679543,-1,0,0,-0.718745,0,1,0,0.000460351,0,0,-1,0.128805
4.73019,4.00619,-22.6972,3.41273,-2.68756,0.268338,5.502,4.28954,-22.4336,3.34507,-2.70223,0.415035,-0.718524,0.00165133,0.12887,-0.718558,-8.71716e-005,0.128873,-0.000185234,-0.566709,-6.32657e-005,4.73019,4.00619,-22.6972,0.000185234,0.000556671,6.32657e-005,-0.718744,0.000469322,0.128809,0,1,1,20,100,20,4.73019,5.15927,4.00619,4.39092,-22.6972,-22.5054,-1.92028,-4.15625,1.80782,0.652259,1.04371,-1.04161,1439420679545,-1,0,0,-0.718744,0,1,0,0.000469322,0,0,-1,0.128809
