Dsr Loads, , , , , , Msr Loads, , , , , , Dsr Pos, , , Msr Pos, , , Preprocessing PID Computed, , , PID Setpoints, , , Post Processing PID Computed, , , Next Pos, , , Axis, Sign, Point, PID-P, , , Deadbands Lower (0) and Upper (1), , , , , , LWR External, , , , , ,Timestamp, Cartesian Frame
Fx, Fy, Fz, Mx, My, Mz, Fx, Fy, Fz, Mx, My, Mz, Px, Py, Pz, Px, Py, Pz, PIDx, PIDy, PIDz, Fx, Fy, Fz, PIDx, PIDy, PIDz, Px, Py, Pz, Sign, Axis, Point, PIDx-P, PIDy-P, PIDz-P, DeadFx[0], DeadFx[1], DeadFy[0], DeadFy[1], DeadFz[0], DeadFz[1], Fx, Fy, Fz, Mx, My, Mz, t[s], T(0 0), T(0 1), T(0 2), T(0 3), T(1 0), T(1 1), T(1 2), T(1 3), T(2 0), T(2 1), T(2 2), T(2 3)
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.51073,4.43094,-22.3728,3.35226,-2.70135,0.398083,-0.718514,0.000617099,0.128887,-0.71854,-0.000302651,0.128879,0,-0.0800409,-3.18214e-005,5.15927,4.39092,-22.5054,-0,0.000508004,3.18214e-005,-0.71854,0.000205339,0.128847,0,1,0,20,100,20,5.15927,5.60774,4.39092,4.45659,-22.5054,-22.373,-1.70413,-3.70856,1.70248,0.593681,0.967591,-0.915409,1439420728402,-1,0,0,-0.71854,0,1,0,0.000205339,0,0,-1,0.128847
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.51448,4.43148,-22.3681,3.35171,-2.7012,0.398508,-0.718514,0.000617099,0.128887,-0.71854,-0.000303695,0.128879,0,-0.0811148,-3.29626e-005,5.15927,4.39092,-22.5054,-0,0.000508111,3.29626e-005,-0.71854,0.000204402,0.128846,0,1,0,20,100,20,5.15927,5.60774,4.39092,4.45659,-22.5054,-22.373,-1.69617,-3.69079,1.7095,0.59063,0.966902,-0.910685,1439420728404,-1,0,0,-0.71854,0,1,0,0.000204402,0,0,-1,0.128846
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.51027,4.43209,-22.3648,3.35134,-2.70065,0.397901,-0.718514,0.000617099,0.128887,-0.71854,-0.000302885,0.128879,0,-0.0823374,-3.37372e-005,5.15927,4.39092,-22.5054,-0,0.000508234,3.37372e-005,-0.71854,0.000205334,0.128845,0,1,0,20,100,20,5.15927,5.60774,4.39092,4.45659,-22.5054,-22.373,-1.69764,-3.71809,1.71207,0.595648,0.9675,-0.919366,1439420728406,-1,0,0,-0.71854,0,1,0,0.000205334,0,0,-1,0.128845
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.51304,4.43229,-22.3684,3.35183,-2.7012,0.398237,-0.718514,0.000617099,0.128887,-0.718541,-0.000289045,0.12888,0,-0.0827303,-3.28683e-005,5.15927,4.39092,-22.5054,-0,0.000508273,3.28683e-005,-0.718541,0.000219213,0.128847,0,1,0,20,100,20,5.15927,5.60774,4.39092,4.45659,-22.5054,-22.373,-1.69211,-3.94667,1.7538,0.63752,0.97104,-0.98966,1439420728408,-1,0,0,-0.718541,0,1,0,0.000219213,0,0,-1,0.128847
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.51298,4.4311,-22.3693,3.35186,-2.70128,0.398303,-0.718514,0.000617099,0.128887,-0.718542,-0.000225972,0.128881,0,-0.0803556,-3.26701e-005,5.15927,4.39092,-22.5054,-0,0.000508036,3.26701e-005,-0.718542,0.000282052,0.128848,0,1,0,20,100,20,5.15927,5.60774,4.39092,4.45659,-22.5054,-22.373,-1.71187,-4.27239,1.68315,0.689685,0.96509,-1.06204,1439420728410,-1,0,0,-0.718542,0,1,0,0.000282052,0,0,-1,0.128848
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.5235,4.41104,-22.3589,3.34911,-2.70132,0.401132,-0.718514,0.000617099,0.128887,-0.718542,-0.000160377,0.128881,0,-0.0402489,-3.51508e-005,5.15927,4.39092,-22.5054,-0,0.000504025,3.51508e-005,-0.718542,0.000343637,0.128846,0,1,0,20,100,20,5.15927,5.60774,4.39092,4.45659,-22.5054,-22.373,-1.70138,-3.76621,1.67901,0.591625,0.963712,-0.89277,1439420728412,-1,0,0,-0.718542,0,1,0,0.000343637,0,0,-1,0.128846
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.53039,4.36948,-22.361,3.34636,-2.7019,0.405137,-0.718514,0.000617099,0.128887,-0.718542,-0.00011983,0.128881,0,0.042881,-3.46623e-005,5.15927,4.39092,-22.5054,-0,0.0005,3.46623e-005,-0.718542,0.000343637,0.128846
4.73019,4.00619,-22.6972,3.41273,-2.68756,0.268338,5.50359,4.30629,-22.4027,3.34711,-2.70285,0.406415,-0.718524,0.00165133,0.12887,-0.718543,-0.000111987,0.128881,-0.000185617,-0.600207,-7.0681e-005,4.73019,4.00619,-22.6972,0.000185617,0.000560021,7.0681e-005,-0.718728,0.000448029,0.12881,0,1,1,20,100,20,4.73019,5.15927,4.00619,4.39092,-22.6972,-22.5054,-1.6853,-3.16386,1.72167,0.505203,0.96828,-0.788215,1439420728416,-1,0,0,-0.718728,0,1,0,0.000448029,0,0,-1,0.12881
4.73019,4.00619,-22.6972,3.41273,-2.68756,0.268338,5.44741,4.256,-22.4504,3.3496,-2.70237,0.402921,-0.718524,0.00165133,0.12887,-0.718544,-0.000119957,0.128883,-0.000172133,-0.499629,-5.92429e-005,4.73019,4.00619,-22.6972,0.000172133,0.000549963,5.92429e-005,-0.718716,0.00043,0.128823,0,1,1,20,100,20,4.73019,5.15927,4.00619,4.39092,-22.6972,-22.5054,-1.65186,-3.5277,1.79458,0.579965,0.971975,-0.92463,1439420728418,-1,0,0,-0.718716,0,1,0,0.00043,0,0,-1,0.128823
4.73019,4.00619,-22.6972,3.41273,-2.68756,0.268338,5.41066,4.24982,-22.4624,3.35095,-2.70084,0.398391,-0.718524,0.00165133,0.12887,-0.718544,-0.000118231,0.128883,-0.000163314,-0.487256,-5.63622e-005,4.73019,4.00619,-22.6972,0.000163314,0.000548726,5.63622e-005,-0.718708,0.00043049,0.128827,0,1,1,20,100,20,4.73019,5.15927,4.00619,4.39092,-22.6972,-22.5054,-1.6822,-3.96843,1.7578,0.656884,0.97277,-1.04552,1439420728420,-1,0,0,-0.718708,0,1,0,0.00043049,0,0,-1,0.128827
