Dsr Loads, , , , , , Msr Loads, , , , , , Dsr Pos, , , Msr Pos, , , Preprocessing PID Computed, , , PID Setpoints, , , Post Processing PID Computed, , , Next Pos, , , Axis, Sign, Point, PID-P, , , Deadbands Lower (0) and Upper (1), , , , , , LWR External, , , , , ,Timestamp, Cartesian Frame
Fx, Fy, Fz, Mx, My, Mz, Fx, Fy, Fz, Mx, My, Mz, Px, Py, Pz, Px, Py, Pz, PIDx, PIDy, PIDz, Fx, Fy, Fz, PIDx, PIDy, PIDz, Px, Py, Pz, Sign, Axis, Point, PIDx-P, PIDy-P, PIDz-P, DeadFx[0], DeadFx[1], DeadFy[0], DeadFy[1], DeadFz[0], DeadFz[1], Fx, Fy, Fz, Mx, My, Mz, t[s], T(0 0), T(0 1), T(0 2), T(0 3), T(1 0), T(1 1), T(1 2), T(1 3), T(2 0), T(2 1), T(2 2), T(2 3)
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.59109,4.51472,-22.3036,3.3467,-2.69936,0.408532,-0.718514,0.000617099,0.128887,-0.718549,-0.000326844,0.128874,0,-0.247605,-4.84259e-005,5.15927,4.39092,-22.5054,-0,0.000524761,4.84259e-005,-0.718549,0.000197873,0.128825,0,1,0,20,100,20,5.15927,5.60774,4.39092,4.45659,-22.5054,-22.373,-2.09683,-3.82865,1.682,0.584612,1.09518,-0.918373,1439420617222,-1,0,0,-0.718549,0,1,0,0.000197873,0,0,-1,0.128825
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.58795,4.51732,-22.2971,3.34604,-2.69865,0.407903,-0.718514,0.000617099,0.128887,-0.718549,-0.000326844,0.128874,0,-0.252809,-5.0002e-005,5.15927,4.39092,-22.5054,-0,0.000525281,5.0002e-005,-0.718549,0.000198392,0.128824,0,1,0,20,100,20,5.15927,5.60774,4.39092,4.45659,-22.5054,-22.373,-2.10666,-3.84733,1.69219,0.588131,1.09842,-0.92403,1439420617224,-1,0,0,-0.718549,0,1,0,0.000198392,0,0,-1,0.128824
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.5911,4.51773,-22.2971,3.3461,-2.69897,0.408273,-0.718514,0.000617099,0.128887,-0.718549,-0.000326844,0.128874,0,-0.25362,-4.99873e-005,5.15927,4.39092,-22.5054,-0,0.000525362,4.99873e-005,-0.718549,0.000198474,0.128824,0,1,0,20,100,20,5.15927,5.60774,4.39092,4.45659,-22.5054,-22.373,-2.10463,-3.84673,1.69427,0.587613,1.09827,-0.923135,1439420617226,-1,0,0,-0.718549,0,1,0,0.000198474,0,0,-1,0.128824
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.58896,4.51754,-22.303,3.34683,-2.6992,0.408036,-0.718514,0.000617099,0.128887,-0.718549,-0.000307407,0.128873,0,-0.25323,-4.85738e-005,5.15927,4.39092,-22.5054,-0,0.000525323,4.85738e-005,-0.718549,0.000217874,0.128824,0,1,0,20,100,20,5.15927,5.60774,4.39092,4.45659,-22.5054,-22.373,-2.13042,-4.15257,1.66926,0.644056,1.0991,-1.017,1439420617228,-1,0,0,-0.718549,0,1,0,0.000217874,0,0,-1,0.128824
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.57736,4.50923,-22.3059,3.34658,-2.69853,0.407182,-0.718514,0.000617099,0.128887,-0.71855,-0.000230245,0.12887,0,-0.236622,-4.78757e-005,5.15927,4.39092,-22.5054,-0,0.000523662,4.78757e-005,-0.71855,0.00029338,0.128822,0,1,0,20,100,20,5.15927,5.60774,4.39092,4.45659,-22.5054,-22.373,-2.17051,-4.52004,1.642,0.702221,1.10255,-1.09614,1439420617230,-1,0,0,-0.71855,0,1,0,0.00029338,0,0,-1,0.128822
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.60387,4.47705,-22.2983,3.34328,-2.69979,0.412959,-0.718514,0.000617099,0.128887,-0.718549,-0.000152975,0.128867,0,-0.172261,-4.97017e-005,5.15927,4.39092,-22.5054,-0,0.000517226,4.97017e-005,-0.718549,0.000364216,0.128817,0,1,0,20,100,20,5.15927,5.60774,4.39092,4.45659,-22.5054,-22.373,-2.10011,-3.89232,1.70042,0.581248,1.09755,-0.88612,1439420617232,-1,0,0,-0.718549,0,1,0,0.000364216,0,0,-1,0.128817
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.60309,4.41287,-22.3142,3.34067,-2.70086,0.417637,-0.718514,0.000617099,0.128887,-0.718548,-0.000107597,0.128865,0,-0.0439024,-4.58986e-005,5.15927,4.39092,-22.5054,-0,0.00050439,4.58986e-005,-0.718548,0.000396763,0.128818,0,1,0,20,100,20,5.15927,5.60774,4.39092,4.45659,-22.5054,-22.373,-2.08256,-3.31571,1.71137,0.487786,1.09679,-0.751811,1439420617234,-1,0,0,-0.718548,0,1,0,0.000396763,0,0,-1,0.128818
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.55772,4.33663,-22.3751,3.34297,-2.70215,0.417528,-0.718514,0.000617099,0.128887,-0.718549,-9.69993e-005,0.128863,0,0.108582,0,5.15927,4.39092,-22.5054,-0,0.0005,-0,-0.718548,0.000396763,0.128818
4.73019,4.00619,-22.6972,3.41273,-2.68756,0.268338,5.5065,4.29378,-22.421,3.34589,-2.70186,0.413992,-0.718524,0.00165133,0.12887,-0.718548,-0.000102277,0.128861,-0.000186314,-0.575171,-6.62892e-005,4.73019,4.00619,-22.6972,0.000186314,0.000557517,6.62892e-005,-0.718735,0.000455098,0.128794,0,1,1,20,100,20,4.73019,5.15927,4.00619,4.39092,-22.6972,-22.5054,-2.0636,-3.66438,1.73577,0.576901,1.09756,-0.939077,1439420617238,-1,0,0,-0.718735,0,1,0,0.000455098,0,0,-1,0.128794
4.73019,4.00619,-22.6972,3.41273,-2.68756,0.268338,5.47763,4.29782,-22.4234,3.34696,-2.70016,0.409461,-0.718524,0.00165133,0.12887,-0.718548,-9.42403e-005,0.128861,-0.000179386,-0.583251,-6.57019e-005,4.73019,4.00619,-22.6972,0.000179386,0.000558325,6.57019e-005,-0.718728,0.000463949,0.128795,0,1,1,20,100,20,4.73019,5.15927,4.00619,4.39092,-22.6972,-22.5054,-2.07175,-4.12951,1.73546,0.657958,1.09867,-1.06528,1439420617240,-1,0,0,-0.718728,0,1,0,0.000463949,0,0,-1,0.128795
4.73019,4.00619,-22.6972,3.41273,-2.68756,0.268338,5.51134,4.33517,-22.3834,3.34536,-2.69995,0.410047,-0.718524,0.00165133,0.12887,-0.718549,-6.3262e-005,0.128862,-0.000187476,-0.65795,-7.53177e-005,4.73019,4.00619,-22.6972,0.000187476,0.000565795,7.53177e-005,-0.718737,0.000502394,0.128786,0,1,1,20,100,20,4.73019,5.15927,4.00619,4.39092,-22.6972,-22.5054,-2.10581,-4.28109,1.72012,0.675191,1.10272,-1.0768,1439420617242,-1,0,0,-0.718737,0,1,0,0.000502394,0,0,-1,0.128786
4.73019,4.00619,-22.6972,3.41273,-2.68756,0.268338,5.56547,4.38962,-22.3068,3.3405,-2.69837,0.411709,-0.718524,0.00165133,0.12887,-0.718551,-1.79379e-005,0.128863,-0.000200467,-0.76685,-9.37061e-005,4.73019,4.00619,-22.6972,0.000200467,0.000576685,9.37061e-005,-0.718751,0.000558604,0.128768,0,1,1,20,100,20,4.73019,5.15927,4.00619,4.39092,-22.6972,-22.5054,-2.11134,-4.12979,1.73047,0.640422,1.1047,-1.00729,1439420617244,-1,0,0,-0.718751,0,1,0,0.000558604,0,0,-1,0.128768
4.73019,4.00619,-22.6972,3.41273,-2.68756,0.268338,5.59035,4.41632,-22.2689,3.33857,-2.69755,0.411686,-0.718524,0.00165133,0.12887,-0.718555,2.87603e-005,0.128866,-0.000206438,-0.820262,-0.000102803,4.73019,4.00619,-22.6972,0.000206438,0.000582026,0.000102803,-0.718761,0.000610649,0.128763,0,1,1,20,100,20,4.73019,5.15927,4.00619,4.39092,-22.6972,-22.5054,-2.08098,-3.90724,1.75858,0.598614,1.10286,-0.935917,1439420617246,-1,0,0,-0.718761,0,1,0,0.000610649,0,0,-1,0.128763
4.73019,4.00619,-22.6972,3.41273,-2.68756,0.268338,5.56112,4.39562,-22.3181,3.34423,-2.69941,0.40846,-0.718524,0.00165133,0.12887,-0.718556,6.57358e-005,0.128866,-0.000199423,-0.778869,-9.09796e-005,4.73019,4.00619,-22.6972,0.000199423,0.000577887,9.09796e-005,-0.718755,0.000643502,0.128775,0,1,1,20,100,20,4.73019,5.15927,4.00619,4.39092,-22.6972,-22.5054,-2.02966,-3.66695,1.74406,0.557742,1.09257,-0.872453,1439420617248,-1,0,0,-0.718755,0,1,0,0.000643502,0,0,-1,0.128775
