Dsr Loads, , , , , , Msr Loads, , , , , , Dsr Pos, , , Msr Pos, , , Preprocessing PID Computed, , , PID Setpoints, , , Post Processing PID Computed, , , Next Pos, , , Axis, Sign, Point, PID-P, , , Deadbands Lower (0) and Upper (1), , , , , , LWR External, , , , , ,Timestamp, Cartesian Frame
Fx, Fy, Fz, Mx, My, Mz, Fx, Fy, Fz, Mx, My, Mz, Px, Py, Pz, Px, Py, Pz, PIDx, PIDy, PIDz, Fx, Fy, Fz, PIDx, PIDy, PIDz, Px, Py, Pz, Sign, Axis, Point, PIDx-P, PIDy-P, PIDz-P, DeadFx[0], DeadFx[1], DeadFy[0], DeadFy[1], DeadFz[0], DeadFz[1], Fx, Fy, Fz, Mx, My, Mz, t[s], T(0 0), T(0 1), T(0 2), T(0 3), T(1 0), T(1 1), T(1 2), T(1 3), T(2 0), T(2 1), T(2 2), T(2 3)
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.4953,4.44543,-22.3789,3.35483,-2.70064,0.394196,-0.718514,0.000617099,0.128887,-0.71854,-0.000303126,0.12888,0,-0.10901,0,5.15927,4.39092,-22.5054,-0,0.000510901,-0,-0.71854,0.000207775,0.12888,0,1,0,20,100,20,5.15927,5.60774,4.39092,4.45659,-22.5054,-22.373,-1.68951,-3.75854,1.71379,0.617158,0.975794,-0.942168,1439420776364,-1,0,0,-0.71854,0,1,0,0.000207775,0,0,-1,0.12888
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.49002,4.44626,-22.3803,3.35505,-2.70036,0.393455,-0.718514,0.000617099,0.128887,-0.71854,-0.000302971,0.12888,0,-0.110672,0,5.15927,4.39092,-22.5054,-0,0.000511067,-0,-0.71854,0.000208096,0.12888,0,1,0,20,100,20,5.15927,5.60774,4.39092,4.45659,-22.5054,-22.373,-1.67923,-3.77728,1.75395,0.620358,0.979214,-0.946695,1439420776366,-1,0,0,-0.71854,0,1,0,0.000208096,0,0,-1,0.12888
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.4927,4.44625,-22.3806,3.35508,-2.70062,0.39381,-0.718514,0.000617099,0.128887,-0.71854,-0.000303126,0.12888,0,-0.110667,0,5.15927,4.39092,-22.5054,-0,0.000511067,-0,-0.71854,0.000207941,0.12888,0,1,0,20,100,20,5.15927,5.60774,4.39092,4.45659,-22.5054,-22.373,-1.68496,-3.73504,1.74637,0.612222,0.979429,-0.932715,1439420776368,-1,0,0,-0.71854,0,1,0,0.000207941,0,0,-1,0.12888
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.48865,4.44768,-22.3787,3.35494,-2.70011,0.393181,-0.718514,0.000617099,0.128887,-0.718541,-0.000289611,0.128881,0,-0.113524,0,5.15927,4.39092,-22.5054,-0,0.000511352,-0,-0.718541,0.000221741,0.128881,0,1,0,20,100,20,5.15927,5.60774,4.39092,4.45659,-22.5054,-22.373,-1.70304,-3.99503,1.75297,0.660344,0.98332,-1.01414,1439420776371,-1,0,0,-0.718541,0,1,0,0.000221741,0,0,-1,0.128881
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.48442,4.44293,-22.3776,3.35447,-2.69972,0.392992,-0.718514,0.000617099,0.128887,-0.718544,-0.000227394,0.128883,0,-0.104024,0,5.15927,4.39092,-22.5054,-0,0.000510402,-0,-0.718544,0.000283008,0.128883,0,1,0,20,100,20,5.15927,5.60774,4.39092,4.45659,-22.5054,-22.373,-1.71078,-4.31598,1.71542,0.711414,0.979535,-1.08558,1439420776372,-1,0,0,-0.718544,0,1,0,0.000283008,0,0,-1,0.128883
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.5026,4.42227,-22.3661,3.35146,-2.70022,0.396857,-0.718514,0.000617099,0.128887,-0.718545,-0.000162924,0.128884,0,-0.062706,-3.34406e-005,5.15927,4.39092,-22.5054,-0,0.000506271,3.34406e-005,-0.718545,0.000343335,0.128851,0,1,0,20,100,20,5.15927,5.60774,4.39092,4.45659,-22.5054,-22.373,-1.67702,-3.78379,1.71815,0.608137,0.974164,-0.905759,1439420776374,-1,0,0,-0.718545,0,1,0,0.000343335,0,0,-1,0.128851
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.50115,4.3811,-22.3675,3.34863,-2.70022,0.39978,-0.718514,0.000617099,0.128887,-0.718546,-0.000122522,0.128884,0,0.0196371,-3.3084e-005,5.15927,4.39092,-22.5054,-0,0.0005,3.3084e-005,-0.718545,0.000343335,0.128851
4.73019,4.00619,-22.6972,3.41273,-2.68756,0.268338,5.48088,4.31641,-22.4157,3.35009,-2.70232,0.402042,-0.718524,0.00165133,0.12887,-0.718547,-0.000116405,0.128885,-0.000180166,-0.620433,-6.75591e-005,4.73019,4.00619,-22.6972,0.000180166,0.000562043,6.75591e-005,-0.718727,0.00044564,0.128817,0,1,1,20,100,20,4.73019,5.15927,4.00619,4.39092,-22.6972,-22.5054,-1.69139,-3.21199,1.72958,0.527024,0.981095,-0.811879,1439420776378,-1,0,0,-0.718727,0,1,0,0.00044564,0,0,-1,0.128817
4.73019,4.00619,-22.6972,3.41273,-2.68756,0.268338,5.43432,4.27093,-22.4595,3.35251,-2.70227,0.399413,-0.718524,0.00165133,0.12887,-0.718548,-0.00012342,0.128886,-0.00016899,-0.529475,-5.70451e-005,4.73019,4.00619,-22.6972,0.00016899,0.000552948,5.70451e-005,-0.718717,0.000429529,0.128828,0,1,1,20,100,20,4.73019,5.15927,4.00619,4.39092,-22.6972,-22.5054,-1.6541,-3.52585,1.78052,0.592818,0.981325,-0.932228,1439420776380,-1,0,0,-0.718717,0,1,0,0.000429529,0,0,-1,0.128828
4.73019,4.00619,-22.6972,3.41273,-2.68756,0.268338,5.39732,4.26565,-22.4697,3.35376,-2.70054,0.394742,-0.718524,0.00165133,0.12887,-0.718548,-0.000121683,0.128886,-0.000160112,-0.518924,-5.45998e-005,4.73019,4.00619,-22.6972,0.000160112,0.000551892,5.45998e-005,-0.718708,0.000430211,0.128831,0,1,1,20,100,20,4.73019,5.15927,4.00619,4.39092,-22.6972,-22.5054,-1.6649,-3.95177,1.78441,0.667867,0.984257,-1.05142,1439420776382,-1,0,0,-0.718708,0,1,0,0.000430211,0,0,-1,0.128831
4.73019,4.00619,-22.6972,3.41273,-2.68756,0.268338,5.42094,4.29016,-22.4388,3.35217,-2.70018,0.39521,-0.718524,0.00165133,0.12887,-0.71855,-9.90969e-005,0.128888,-0.00016578,-0.567937,-6.20247e-005,4.73019,4.00619,-22.6972,0.00016578,0.000556794,6.20247e-005,-0.718716,0.000457702,0.128825,0,1,1,20,100,20,4.73019,5.15927,4.00619,4.39092,-22.6972,-22.5054,-1.71922,-4.18241,1.75533,0.700124,0.990705,-1.08861,1439420776384,-1,0,0,-0.718716,0,1,0,0.000457702,0,0,-1,0.128825
4.73019,4.00619,-22.6972,3.41273,-2.68756,0.268338,5.45797,4.33964,-22.3692,3.3476,-2.69793,0.395313,-0.718524,0.00165133,0.12887,-0.718558,-5.01595e-005,0.128894,-0.000174666,-0.666897,-7.87267e-005,4.73019,4.00619,-22.6972,0.000174666,0.00056669,7.87267e-005,-0.718733,0.000516545,0.128815,0,1,1,20,100,20,4.73019,5.15927,4.00619,4.39092,-22.6972,-22.5054,-1.76382,-4.13929,1.71712,0.682847,0.993399,-1.04349,1439420776386,-1,0,0,-0.718733,0,1,0,0.000516545,0,0,-1,0.128815
4.73019,4.00619,-22.6972,3.41273,-2.68756,0.268338,5.48949,4.37021,-22.3162,3.34384,-2.69656,0.396104,-0.718524,0.00165133,0.12887,-0.718566,-5.33934e-006,0.128901,-0.000182233,-0.728045,-9.14301e-005,4.73019,4.00619,-22.6972,0.000182233,0.000572805,9.14301e-005,-0.718748,0.000567491,0.128809,0,1,1,20,100,20,4.73019,5.15927,4.00619,4.39092,-22.6972,-22.5054,-1.70478,-3.70854,1.6895,0.60243,0.979484,-0.906541,1439420776388,-1,0,0,-0.718748,0,1,0,0.000567491,0,0,-1,0.128809
4.73019,4.00619,-22.6972,3.41273,-2.68756,0.268338,5.48128,4.35823,-22.3373,3.34637,-2.69775,0.395127,-0.718524,0.00165133,0.12887,-0.718572,2.42021e-005,0.128905,-0.000180261,-0.704076,-8.63832e-005,4.73019,4.00619,-22.6972,0.000180261,0.000570408,8.63832e-005,-0.718752,0.000594643,0.128818,0,1,1,20,100,20,4.73019,5.15927,4.00619,4.39092,-22.6972,-22.5054,-1.66421,-3.45534,1.68532,0.562576,0.973824,-0.850836,1439420776390,-1,0,0,-0.718752,0,1,0,0.000594643,0,0,-1,0.128818
4.73019,4.00619,-22.6972,3.41273,-2.68756,0.268338,5.40947,4.32121,-22.4097,3.35363,-2.69813,0.38795,-0.718524,0.00165133,0.12887,-0.718576,4.1913e-005,0.128908,-0.000163026,-0.630048,-6.90001e-005,4.73019,4.00619,-22.6972,0.000163026,0.000563005,6.90001e-005,-0.718739,0.000604952,0.128839,0,1,1,20,100,20,4.73019,5.15927,4.00619,4.39092,-22.6972,-22.5054,-1.6449,-3.52411,1.78413,0.582825,0.986203,-0.89574,1439420776392,-1,0,0,-0.718739,0,1,0,0.000604952,0,0,-1,0.128839
