Dsr Loads, , , , , , Msr Loads, , , , , , Dsr Pos, , , Msr Pos, , , Preprocessing PID Computed, , , PID Setpoints, , , Post Processing PID Computed, , , Next Pos, , , Axis, Sign, Point, PID-P, , , Deadbands Lower (0) and Upper (1), , , , , , LWR External, , , , , ,Timestamp, Cartesian Frame
Fx, Fy, Fz, Mx, My, Mz, Fx, Fy, Fz, Mx, My, Mz, Px, Py, Pz, Px, Py, Pz, PIDx, PIDy, PIDz, Fx, Fy, Fz, PIDx, PIDy, PIDz, Px, Py, Pz, Sign, Axis, Point, PIDx-P, PIDy-P, PIDz-P, DeadFx[0], DeadFx[1], DeadFy[0], DeadFy[1], DeadFz[0], DeadFz[1], Fx, Fy, Fz, Mx, My, Mz, t[s], T(0 0), T(0 1), T(0 2), T(0 3), T(1 0), T(1 1), T(1 2), T(1 3), T(2 0), T(2 1), T(2 2), T(2 3)
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.42988,4.42058,-22.4509,3.36786,-2.70286,0.382299,-0.718514,0.000617099,0.128887,-0.718534,-0.00036568,0.128874,0,-0.0593157,0,5.15927,4.39092,-22.5054,-0,0.000505932,-0,-0.718534,0.000140252,0.128874,0,1,0,20,100,20,5.15927,5.60774,4.39092,4.45659,-22.5054,-22.373,-1.81227,-3.70373,1.92613,0.677463,1.11351,-0.986779,1439420874894,-1,0,0,-0.718534,0,1,0,0.000140252,0,0,-1,0.128874
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.43064,4.41724,-22.4546,3.36804,-2.70325,0.382658,-0.718514,0.000617099,0.128887,-0.718534,-0.00036568,0.128874,0,-0.0526409,0,5.15927,4.39092,-22.5054,-0,0.000505264,-0,-0.718534,0.000139584,0.128874,0,1,0,20,100,20,5.15927,5.60774,4.39092,4.45659,-22.5054,-22.373,-1.80842,-3.70085,1.93955,0.676582,1.1143,-0.985232,1439420874896,-1,0,0,-0.718534,0,1,0,0.000139584,0,0,-1,0.128874
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.43625,4.4169,-22.4579,3.36842,-2.70398,0.383425,-0.718514,0.000617099,0.128887,-0.718534,-0.00036568,0.128874,0,-0.0519629,0,5.15927,4.39092,-22.5054,-0,0.000505196,-0,-0.718534,0.000139516,0.128874,0,1,0,20,100,20,5.15927,5.60774,4.39092,4.45659,-22.5054,-22.373,-1.81007,-3.69891,1.91999,0.676368,1.112,-0.98496,1439420874898,-1,0,0,-0.718534,0,1,0,0.000139516,0,0,-1,0.128874
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.43366,4.41924,-22.46,3.36888,-2.70394,0.382931,-0.718514,0.000617099,0.128887,-0.718536,-0.000357636,0.128876,0,-0.0566339,0,5.15927,4.39092,-22.5054,-0,0.000505663,-0,-0.718536,0.000148027,0.128876,0,1,0,20,100,20,5.15927,5.60774,4.39092,4.45659,-22.5054,-22.373,-1.8344,-3.81645,1.94556,0.697758,1.11956,-1.02038,1439420874900,-1,0,0,-0.718536,0,1,0,0.000148027,0,0,-1,0.128876
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.43319,4.41669,-22.4571,3.36835,-2.70368,0.383054,-0.718514,0.000617099,0.128887,-0.718539,-0.000320965,0.128879,0,-0.0515461,0,5.15927,4.39092,-22.5054,-0,0.000505155,-0,-0.718539,0.000184189,0.128879,0,1,0,20,100,20,5.15927,5.60774,4.39092,4.45659,-22.5054,-22.373,-1.80572,-4.01926,1.97068,0.730812,1.11668,-1.06808,1439420874902,-1,0,0,-0.718539,0,1,0,0.000184189,0,0,-1,0.128879
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.4407,4.40794,-22.4427,3.36588,-2.70313,0.384658,-0.718514,0.000617099,0.128887,-0.71854,-0.000281242,0.12888,0,-0.0340309,0,5.15927,4.39092,-22.5054,-0,0.000503403,-0,-0.71854,0.000222161,0.12888,0,1,0,20,100,20,5.15927,5.60774,4.39092,4.45659,-22.5054,-22.373,-1.78778,-3.73467,1.92363,0.675841,1.10801,-0.971825,1439420874904,-1,0,0,-0.71854,0,1,0,0.000222161,0,0,-1,0.12888
5.15927,4.39092,-22.5054,3.39676,-2.69531,0.323083,5.4345,4.38411,-22.4406,3.36383,-2.70253,0.385699,-0.718514,0.000617099,0.128887,-0.71854,-0.000253507,0.12888,0,0.013628,0,5.15927,4.39092,-22.5054,-0,0.0005,-0,-0.71854,0.000222161,0.12888
4.73019,4.00619,-22.6972,3.41273,-2.68756,0.268338,5.42689,4.34003,-22.4696,3.36424,-2.70415,0.388085,-0.718524,0.00165133,0.12887,-0.718541,-0.000248529,0.12888,-0.000167208,-0.667682,-5.46213e-005,4.73019,4.00619,-22.6972,0.000167208,0.000566768,5.46213e-005,-0.718707,0.000318373,0.128826,0,1,1,20,100,20,4.73019,5.15927,4.00619,4.39092,-22.6972,-22.5054,-1.80281,-3.31313,1.93915,0.612738,1.11568,-0.890578,1439420874908,-1,0,0,-0.718707,0,1,0,0.000318373,0,0,-1,0.128826
4.73019,4.00619,-22.6972,3.41273,-2.68756,0.268338,5.40143,4.30072,-22.5084,3.36634,-2.70526,0.387782,-0.718524,0.00165133,0.12887,-0.718542,-0.000251626,0.128882,-0.000161097,-0.589057,0,4.73019,4.00619,-22.6972,0.000161097,0.000558906,-0,-0.718703,0.000307397,0.128882,0,1,1,20,100,20,4.73019,5.15927,4.00619,4.39092,-22.6972,-22.5054,-1.79497,-3.5951,1.95866,0.670744,1.11741,-0.996083,1439420874910,-1,0,0,-0.718703,0,1,0,0.000307397,0,0,-1,0.128882
4.73019,4.00619,-22.6972,3.41273,-2.68756,0.268338,5.375,4.28514,-22.5309,3.36822,-2.70517,0.385407,-0.718524,0.00165133,0.12887,-0.718543,-0.000248269,0.128883,-0.000154754,-0.557897,0,4.73019,4.00619,-22.6972,0.000154754,0.00055579,-0,-0.718697,0.000307635,0.128883,0,1,1,20,100,20,4.73019,5.15927,4.00619,4.39092,-22.6972,-22.5054,-1.78687,-3.85641,1.99161,0.716063,1.12079,-1.06586,1439420874912,-1,0,0,-0.718697,0,1,0,0.000307635,0,0,-1,0.128883
