Dsr Loads, , , , , , Msr Loads, , , , , , Dsr Pos, , , Msr Pos, , , Preprocessing PID Computed, , , PID Setpoints, , , Post Processing PID Computed, , , Next Pos, , , Axis, Sign, Point, PID-P, , , Deadbands Lower (0) and Upper (1), , , , , , LWR External, , , , , ,Timestamp, Cartesian Frame
Fx, Fy, Fz, Mx, My, Mz, Fx, Fy, Fz, Mx, My, Mz, Px, Py, Pz, Px, Py, Pz, PIDx, PIDy, PIDz, Fx, Fy, Fz, PIDx, PIDy, PIDz, Px, Py, Pz, Sign, Axis, Point, PIDx-P, PIDy-P, PIDz-P, DeadFx[0], DeadFx[1], DeadFy[0], DeadFy[1], DeadFz[0], DeadFz[1], Fx, Fy, Fz, Mx, My, Mz, t[s], T(0 0), T(0 1), T(0 2), T(0 3), T(1 0), T(1 1), T(1 2), T(1 3), T(2 0), T(2 1), T(2 2), T(2 3)
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.54511,4.41855,-22.4904,3.35782,-2.70798,0.411195,-0.71854,-0.000354335,0.129877,-0.718515,-0.00032604,0.128898,5.30008e-005,1.12977e-005,0.470341,5.76595,4.46562,-22.2552,-5.30008e-005,-1.12977e-005,-0.000447034,-0.718462,-0.000336906,0.129345,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.75388,-3.36094,1.93836,0.424724,1.0726,-0.694439,1439423104875,-1,0,0,-0.718462,0,1,0,-0.000336906,0,0,-1,0.129345
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.55136,4.41718,-22.4929,3.35802,-2.70866,0.412108,-0.71854,-0.000354335,0.129877,-0.718515,-0.00032604,0.128898,5.15025e-005,1.16247e-005,0.475399,5.76595,4.46562,-22.2552,-5.15025e-005,-1.16247e-005,-0.00044754,-0.718463,-0.000337234,0.129346,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.73804,-3.36805,1.93283,0.426209,1.06873,-0.697068,1439423104876,-1,0,0,-0.718463,0,1,0,-0.000337234,0,0,-1,0.129346
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.54653,4.41667,-22.4929,3.35798,-2.70831,0.411547,-0.71854,-0.000354335,0.129877,-0.718515,-0.00032685,0.128899,5.26608e-005,1.17472e-005,0.475315,5.76595,4.46562,-22.2552,-5.26608e-005,-1.17472e-005,-0.000447532,-0.718462,-0.000338165,0.129346,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.74889,-3.34805,1.93758,0.422447,1.07156,-0.690575,1439423104879,-1,0,0,-0.718462,0,1,0,-0.000338165,0,0,-1,0.129346
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.54556,4.41628,-22.496,3.35839,-2.70847,0.411473,-0.71854,-0.000354335,0.129877,-0.718519,-0.000322278,0.128905,5.2893e-005,1.18412e-005,0.481644,5.76595,4.46562,-22.2552,-5.2893e-005,-1.18412e-005,-0.000448164,-0.718467,-0.000333689,0.129353,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.74765,-3.43416,2.06607,0.437661,1.08753,-0.717147,1439423104881,-1,0,0,-0.718467,0,1,0,-0.000333689,0,0,-1,0.129353
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.54965,4.41413,-22.4936,3.35791,-2.70853,0.41215,-0.71854,-0.000354335,0.129877,-0.718535,-0.000306592,0.128928,5.19129e-005,1.23587e-005,0.476765,5.76595,4.46562,-22.2552,-5.19129e-005,-1.23587e-005,-0.000447676,-0.718484,-0.000318529,0.129376,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.76137,-3.52975,2.15667,0.452599,1.10167,-0.739953,1439423104883,-1,0,0,-0.718484,0,1,0,-0.000318529,0,0,-1,0.129376
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.54563,4.40429,-22.4897,3.35671,-2.70786,0.412396,-0.71854,-0.000354335,0.129877,-0.718544,-0.000290051,0.128943,5.28774e-005,1.47187e-005,0.469059,5.76595,4.46562,-22.2552,-5.28774e-005,-1.47187e-005,-0.000446906,-0.718492,-0.000304356,0.12939,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.70767,-3.40471,1.8986,0.429534,1.06006,-0.696936,1439423104885,-1,0,0,-0.718492,0,1,0,-0.000304356,0,0,-1,0.12939
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.52466,4.39171,-22.4827,3.35492,-2.70581,0.410738,-0.71854,-0.000354335,0.129877,-0.718547,-0.000277168,0.128951,5.7909e-005,1.77386e-005,0.454952,5.76595,4.46562,-22.2552,-5.7909e-005,-1.77386e-005,-0.000445495,-0.718489,-0.000294494,0.129396,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.67145,-3.27753,1.81583,0.409087,1.04472,-0.664291,1439423104887,-1,0,0,-0.718489,0,1,0,-0.000294494,0,0,-1,0.129396
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.47417,4.38373,-22.4745,3.35329,-2.70158,0.404923,-0.71854,-0.000354335,0.129877,-0.718548,-0.000270895,0.128956,7.00269e-005,1.96542e-005,0.438538,5.76595,4.46562,-22.2552,-7.00269e-005,-1.96542e-005,-0.000443854,-0.718478,-0.000290131,0.129399,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.68306,-3.27506,1.91691,0.412614,1.06072,-0.676647,1439423104889,-1,0,0,-0.718478,0,1,0,-0.000290131,0,0,-1,0.129399
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.44526,4.3759,-22.4744,3.35278,-2.69957,0.401691,-0.71854,-0.000354335,0.129877,-0.718552,-0.000268721,0.128965,7.69663e-005,2.15334e-005,0.43837,5.76595,4.46562,-22.2552,-7.69663e-005,-2.15334e-005,-0.000443837,-0.718475,-0.000289831,0.129409,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.64222,-3.28127,2.12192,0.414901,1.0799,-0.68421,1439423104891,-1,0,0,-0.718475,0,1,0,-0.000289831,0,0,-1,0.129409
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.47152,4.3715,-22.4754,3.35273,-2.70168,0.405107,-0.71854,-0.000354335,0.129877,-0.718559,-0.000264449,0.128979,7.06625e-005,2.25887e-005,0.440414,5.76595,4.46562,-22.2552,-7.06625e-005,-2.25887e-005,-0.000444041,-0.718489,-0.00028662,0.129423,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.67338,-3.43354,2.10708,0.443044,1.08462,-0.732776,1439423104893,-1,0,0,-0.718489,0,1,0,-0.00028662,0,0,-1,0.129423
