Dsr Loads, , , , , , Msr Loads, , , , , , Dsr Pos, , , Msr Pos, , , Preprocessing PID Computed, , , PID Setpoints, , , Post Processing PID Computed, , , Next Pos, , , Axis, Sign, Point, PID-P, , , Deadbands Lower (0) and Upper (1), , , , , , LWR External, , , , , ,Timestamp, Cartesian Frame
Fx, Fy, Fz, Mx, My, Mz, Fx, Fy, Fz, Mx, My, Mz, Px, Py, Pz, Px, Py, Pz, PIDx, PIDy, PIDz, Fx, Fy, Fz, PIDx, PIDy, PIDz, Px, Py, Pz, Sign, Axis, Point, PIDx-P, PIDy-P, PIDz-P, DeadFx[0], DeadFx[1], DeadFy[0], DeadFy[1], DeadFz[0], DeadFz[1], Fx, Fy, Fz, Mx, My, Mz, t[s], T(0 0), T(0 1), T(0 2), T(0 3), T(1 0), T(1 1), T(1 2), T(1 3), T(2 0), T(2 1), T(2 2), T(2 3)
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.56046,4.43083,-22.4828,3.35761,-2.70823,0.412847,-0.71854,-0.000354335,0.129877,-0.718513,-0.000339044,0.12889,4.93173e-005,0,0.4552,5.76595,4.46562,-22.2552,-4.93173e-005,-0,-0.00044552,-0.718464,-0.000338632,0.129335,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-2.18568,-3.42476,1.97167,0.439739,1.16972,-0.732868,1439423218339,-1,0,0,-0.718464,0,1,0,-0.000338632,0,0,-1,0.129335
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.56484,4.4292,-22.4853,3.3577,-2.70869,0.413655,-0.71854,-0.000354335,0.129877,-0.718512,-0.000339046,0.128888,4.82664e-005,0,0.460136,5.76595,4.46562,-22.2552,-4.82664e-005,-0,-0.000446014,-0.718463,-0.000338634,0.129334,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-2.17324,-3.44612,1.93506,0.443538,1.16218,-0.738366,1439423218341,-1,0,0,-0.718463,0,1,0,-0.000338634,0,0,-1,0.129334
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.56393,4.42564,-22.4859,3.35744,-2.70862,0.413918,-0.71854,-0.000354335,0.129877,-0.71851,-0.000339047,0.128887,4.84845e-005,0,0.461391,5.76595,4.46562,-22.2552,-4.84845e-005,-0,-0.000446139,-0.718462,-0.000338635,0.129333,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-2.18858,-3.42474,1.93181,0.439336,1.16465,-0.73115,1439423218343,-1,0,0,-0.718462,0,1,0,-0.000338635,0,0,-1,0.129333
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.56736,4.42331,-22.4796,3.35635,-2.70836,0.414665,-0.71854,-0.000354335,0.129877,-0.718514,-0.000336213,0.128892,4.76617e-005,0,0.44878,5.76595,4.46562,-22.2552,-4.76617e-005,-0,-0.000444878,-0.718466,-0.000335805,0.129337,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-2.20222,-3.4899,2.02972,0.450699,1.17936,-0.751334,1439423218345,-1,0,0,-0.718466,0,1,0,-0.000335805,0,0,-1,0.129337
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.56736,4.42331,-22.4796,3.35635,-2.70836,0.414665,-0.71854,-0.000354335,0.129877,-0.718531,-0.000325647,0.128917,4.76617e-005,0,0.44878,5.76595,4.46562,-22.2552,-4.76617e-005,-0,-0.000444878,-0.718483,-0.000325244,0.129361,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-2.16913,-3.50309,2.18929,0.450849,1.19325,-0.750719,1439423218347,-1,0,0,-0.718483,0,1,0,-0.000325244,0,0,-1,0.129361
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.55622,4.40397,-22.4708,3.35363,-2.7068,0.415039,-0.71854,-0.000354335,0.129877,-0.718541,-0.000317499,0.128936,5.03355e-005,1.4796e-005,0.431175,5.76595,4.46562,-22.2552,-5.03355e-005,-1.4796e-005,-0.000443118,-0.718491,-0.000331896,0.129379,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-2.09643,-3.39921,1.94678,0.433168,1.15027,-0.718819,1439423218349,-1,0,0,-0.718491,0,1,0,-0.000331896,0,0,-1,0.129379
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.52474,4.39573,-22.4571,3.35122,-2.70338,0.411837,-0.71854,-0.000354335,0.129877,-0.718542,-0.000311661,0.128942,5.78909e-005,1.67735e-005,0.403877,5.76595,4.46562,-22.2552,-5.78909e-005,-1.67735e-005,-0.000440388,-0.718484,-0.000328034,0.129383,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-2.06759,-3.32635,1.79632,0.422886,1.12826,-0.701912,1439423218351,-1,0,0,-0.718484,0,1,0,-0.000328034,0,0,-1,0.129383
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.47792,4.39507,-22.447,3.34992,-2.69921,0.406039,-0.71854,-0.000354335,0.129877,-0.71854,-0.000309644,0.128945,6.91261e-005,1.69331e-005,0.383602,5.76595,4.46562,-22.2552,-6.91261e-005,-1.69331e-005,-0.00043836,-0.718471,-0.000326171,0.129383,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-2.07005,-3.37517,1.87883,0.43442,1.14045,-0.724851,1439423218353,-1,0,0,-0.718471,0,1,0,-0.000326171,0,0,-1,0.129383
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.47432,4.39327,-22.4392,3.34887,-2.69845,0.405676,-0.71854,-0.000354335,0.129877,-0.718543,-0.000310684,0.128952,6.99915e-005,1.73631e-005,0.367935,5.76595,4.46562,-22.2552,-6.99915e-005,-1.73631e-005,-0.000436794,-0.718473,-0.00032764,0.129389,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-2.06996,-3.40365,2.05592,0.439435,1.16399,-0.735668,1439423218355,-1,0,0,-0.718473,0,1,0,-0.00032764,0,0,-1,0.129389
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.50224,4.39347,-22.4345,3.34838,-2.70017,0.409054,-0.71854,-0.000354335,0.129877,-0.718547,-0.000309869,0.128962,6.32901e-005,1.73162e-005,0.358635,5.76595,4.46562,-22.2552,-6.32901e-005,-1.73162e-005,-0.000435863,-0.718484,-0.000326786,0.129398,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-2.0792,-3.43191,2.0476,0.443982,1.16572,-0.743059,1439423218357,-1,0,0,-0.718484,0,1,0,-0.000326786,0,0,-1,0.129398
