Dsr Loads, , , , , , Msr Loads, , , , , , Dsr Pos, , , Msr Pos, , , Preprocessing PID Computed, , , PID Setpoints, , , Post Processing PID Computed, , , Next Pos, , , Axis, Sign, Point, PID-P, , , Deadbands Lower (0) and Upper (1), , , , , , LWR External, , , , , ,Timestamp, Cartesian Frame
Fx, Fy, Fz, Mx, My, Mz, Fx, Fy, Fz, Mx, My, Mz, Px, Py, Pz, Px, Py, Pz, PIDx, PIDy, PIDz, Fx, Fy, Fz, PIDx, PIDy, PIDz, Px, Py, Pz, Sign, Axis, Point, PIDx-P, PIDy-P, PIDz-P, DeadFx[0], DeadFx[1], DeadFy[0], DeadFy[1], DeadFz[0], DeadFz[1], Fx, Fy, Fz, Mx, My, Mz, t[s], T(0 0), T(0 1), T(0 2), T(0 3), T(1 0), T(1 1), T(1 2), T(1 3), T(2 0), T(2 1), T(2 2), T(2 3)
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.61185,4.42401,-22.429,3.34398,-2.70666,0.424984,-0.71854,-0.000354335,0.129877,-0.718435,-0.00032714,0.1289,0,0,0.347515,5.76595,4.46562,-22.2552,-0,-0,-0.000434752,-0.718435,-0.000326651,0.129334,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.88125,-3.34138,2.15118,0.416842,1.24217,-0.66616,1439423258129,-1,0,0,-0.718435,0,1,0,-0.000326651,0,0,-1,0.129334
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.61364,4.42664,-22.422,3.34333,-2.70631,0.424987,-0.71854,-0.000354335,0.129877,-0.718434,-0.000327141,0.128899,0,0,0.333572,5.76595,4.46562,-22.2552,-0,-0,-0.000433357,-0.718435,-0.000326652,0.129332,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.89374,-3.32104,2.12995,0.413245,1.24228,-0.660203,1439423258131,-1,0,0,-0.718435,0,1,0,-0.000326652,0,0,-1,0.129332
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.61352,4.4264,-22.4239,3.34358,-2.7065,0.424996,-0.71854,-0.000354335,0.129877,-0.718435,-0.00032714,0.1289,0,0,0.337322,5.76595,4.46562,-22.2552,-0,-0,-0.000433732,-0.718435,-0.000326652,0.129333,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.86499,-3.33496,2.19801,0.415762,1.24583,-0.665516,1439423258133,-1,0,0,-0.718435,0,1,0,-0.000326652,0,0,-1,0.129333
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.61495,4.42649,-22.4273,3.34403,-2.70683,0.425192,-0.71854,-0.000354335,0.129877,-0.71844,-0.000322332,0.128908,0,0,0.344147,5.76595,4.46562,-22.2552,-0,-0,-0.000434415,-0.71844,-0.000321845,0.129342,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.8799,-3.40275,2.352,0.427221,1.26836,-0.68644,1439423258135,-1,0,0,-0.71844,0,1,0,-0.000321845,0,0,-1,0.129342
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.60906,4.42691,-22.4248,3.34376,-2.7062,0.424417,-0.71854,-0.000354335,0.129877,-0.71846,-0.000310716,0.12894,0,0,0.33913,5.76595,4.46562,-22.2552,-0,-0,-0.000433913,-0.71846,-0.000310234,0.129374,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.88332,-3.43171,2.48727,0.429769,1.28653,-0.690315,1439423258137,-1,0,0,-0.71846,0,1,0,-0.000310234,0,0,-1,0.129374
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.60868,4.41922,-22.4234,3.34308,-2.70608,0.424979,-0.71854,-0.000354335,0.129877,-0.718476,-0.000299445,0.128966,0,1.11356e-005,0.336472,5.76595,4.46562,-22.2552,-0,-1.11356e-005,-0.000433647,-0.718476,-0.000310104,0.129399,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.83981,-3.29779,2.14803,0.405505,1.23574,-0.646252,1439423258139,-1,0,0,-0.718476,0,1,0,-0.000310104,0,0,-1,0.129399
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.59379,4.40776,-22.4108,3.34069,-2.70396,0.424,-0.71854,-0.000354335,0.129877,-0.718482,-0.000293753,0.128977,4.13187e-005,1.38865e-005,0.311172,5.76595,4.46562,-22.2552,-4.13187e-005,-1.38865e-005,-0.000431117,-0.718441,-0.000307133,0.129408,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.78436,-3.2171,1.96797,0.395,1.20451,-0.630533,1439423258141,-1,0,0,-0.718441,0,1,0,-0.000307133,0,0,-1,0.129408
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.54954,4.39706,-22.3921,3.33763,-2.69925,0.419188,-0.71854,-0.000354335,0.129877,-0.718482,-0.000291964,0.128979,5.19383e-005,1.64535e-005,0.273758,5.76595,4.46562,-22.2552,-5.19383e-005,-1.64535e-005,-0.000427376,-0.71843,-0.000307908,0.129407,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.80163,-3.26523,2.03737,0.407325,1.22013,-0.654814,1439423258143,-1,0,0,-0.71843,0,1,0,-0.000307908,0,0,-1,0.129407
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.49371,4.39607,-22.3768,3.3357,-2.69415,0.412104,-0.71854,-0.000354335,0.129877,-0.718485,-0.00029165,0.128987,6.53368e-005,1.66932e-005,0.243111,5.76595,4.46562,-22.2552,-6.53368e-005,-1.66932e-005,-0.000424311,-0.718421,-0.000307827,0.129411,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.84979,-3.34625,2.24473,0.421794,1.25843,-0.68074,1439423258145,-1,0,0,-0.718421,0,1,0,-0.000307827,0,0,-1,0.129411
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.48007,4.39854,-22.3658,3.33463,-2.69253,0.409934,-0.71854,-0.000354335,0.129877,-0.718495,-0.000289937,0.129002,6.86108e-005,1.60987e-005,0.221233,5.76595,4.46562,-22.2552,-6.86108e-005,-1.60987e-005,-0.000422123,-0.718426,-0.000305519,0.129424,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.84262,-3.34351,2.36152,0.419557,1.27265,-0.677853,1439423258147,-1,0,0,-0.718426,0,1,0,-0.000305519,0,0,-1,0.129424
