Dsr Loads, , , , , , Msr Loads, , , , , , Dsr Pos, , , Msr Pos, , , Preprocessing PID Computed, , , PID Setpoints, , , Post Processing PID Computed, , , Next Pos, , , Axis, Sign, Point, PID-P, , , Deadbands Lower (0) and Upper (1), , , , , , LWR External, , , , , ,Timestamp, Cartesian Frame
Fx, Fy, Fz, Mx, My, Mz, Fx, Fy, Fz, Mx, My, Mz, Px, Py, Pz, Px, Py, Pz, PIDx, PIDy, PIDz, Fx, Fy, Fz, PIDx, PIDy, PIDz, Px, Py, Pz, Sign, Axis, Point, PIDx-P, PIDy-P, PIDz-P, DeadFx[0], DeadFx[1], DeadFy[0], DeadFy[1], DeadFz[0], DeadFz[1], Fx, Fy, Fz, Mx, My, Mz, t[s], T(0 0), T(0 1), T(0 2), T(0 3), T(1 0), T(1 1), T(1 2), T(1 3), T(2 0), T(2 1), T(2 2), T(2 3)
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.55649,4.41118,-22.5282,3.36356,-2.711,0.413734,-0.71854,-0.000354335,0.129877,-0.718509,-0.000333289,0.12889,5.02711e-005,1.30649e-005,0.546024,5.76595,4.46562,-22.2552,-5.02711e-005,-1.30649e-005,-0.000454602,-0.718459,-0.000345932,0.129345,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.66315,-3.38361,1.63856,0.416915,0.895137,-0.681943,1439423324403,-1,0,0,-0.718459,0,1,0,-0.000345932,0,0,-1,0.129345
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.55668,4.41239,-22.5297,3.3638,-2.71104,0.413662,-0.71854,-0.000354335,0.129877,-0.718509,-0.000333289,0.128892,5.02238e-005,1.27753e-005,0.54895,5.76595,4.46562,-22.2552,-5.02238e-005,-1.27753e-005,-0.000454895,-0.718458,-0.000345642,0.129346,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.6517,-3.36104,1.67784,0.41285,0.898004,-0.675195,1439423324405,-1,0,0,-0.718458,0,1,0,-0.000345642,0,0,-1,0.129346
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.5522,4.41184,-22.5347,3.36437,-2.7111,0.413164,-0.71854,-0.000354335,0.129877,-0.718509,-0.000333289,0.128893,5.13009e-005,1.29077e-005,0.55901,5.76595,4.46562,-22.2552,-5.13009e-005,-1.29077e-005,-0.000455901,-0.718458,-0.000345773,0.129348,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.678,-3.36769,1.63642,0.414468,0.897539,-0.678498,1439423324407,-1,0,0,-0.718458,0,1,0,-0.000345773,0,0,-1,0.129348
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.55475,4.41184,-22.5298,3.36376,-2.71095,0.413512,-0.71854,-0.000354335,0.129877,-0.718512,-0.000328497,0.128897,5.06889e-005,1.29063e-005,0.549259,5.76595,4.46562,-22.2552,-5.06889e-005,-1.29063e-005,-0.000454926,-0.718461,-0.000340984,0.129352,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.6716,-3.43686,1.74047,0.42695,0.909359,-0.700379,1439423324409,-1,0,0,-0.718461,0,1,0,-0.000340984,0,0,-1,0.129352
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.55336,4.40918,-22.5203,3.36233,-2.71011,0.413534,-0.71854,-0.000354335,0.129877,-0.718524,-0.00031512,0.128915,5.10222e-005,1.35452e-005,0.530174,5.76595,4.46562,-22.2552,-5.10222e-005,-1.35452e-005,-0.000453017,-0.718472,-0.000328253,0.129368,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.67188,-3.42942,1.798,0.423183,0.916679,-0.691393,1439423324411,-1,0,0,-0.718472,0,1,0,-0.000328253,0,0,-1,0.129368
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.55935,4.3983,-22.5189,3.36135,-2.71041,0.415153,-0.71854,-0.000354335,0.129877,-0.718532,-0.000303085,0.128931,4.95834e-005,1.61577e-005,0.527348,5.76595,4.46562,-22.2552,-4.95834e-005,-1.61577e-005,-0.000452735,-0.718482,-0.000318838,0.129384,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.63818,-3.33486,1.61871,0.40694,0.888407,-0.663681,1439423324413,-1,0,0,-0.718482,0,1,0,-0.000318838,0,0,-1,0.129384
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.54208,4.38844,-22.5091,3.35942,-2.70841,0.41374,-0.71854,-0.000354335,0.129877,-0.718534,-0.000294697,0.128936,5.37288e-005,1.85231e-005,0.507809,5.76595,4.46562,-22.2552,-5.37288e-005,-1.85231e-005,-0.000450781,-0.71848,-0.000312817,0.129387,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.61748,-3.29818,1.49485,0.403531,0.869409,-0.660137,1439423324415,-1,0,0,-0.71848,0,1,0,-0.000312817,0,0,-1,0.129387
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.49906,4.38089,-22.505,3.35838,-2.70497,0.408861,-0.71854,-0.000354335,0.129877,-0.718535,-0.000291302,0.12894,6.40535e-005,2.0336e-005,0.499512,5.76595,4.46562,-22.2552,-6.40535e-005,-2.0336e-005,-0.000449951,-0.71847,-0.000311228,0.12939,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.6176,-3.27438,1.57161,0.401099,0.880011,-0.659619,1439423324417,-1,0,0,-0.71847,0,1,0,-0.000311228,0,0,-1,0.12939
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.4761,4.37622,-22.5089,3.3586,-2.70367,0.406234,-0.71854,-0.000354335,0.129877,-0.718538,-0.000289678,0.128946,6.95637e-005,2.14561e-005,0.507301,5.76595,4.46562,-22.2552,-6.95637e-005,-2.14561e-005,-0.00045073,-0.718468,-0.000310718,0.129397,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.60951,-3.32184,1.71941,0.410637,0.897988,-0.679096,1439423324419,-1,0,0,-0.718468,0,1,0,-0.000310718,0,0,-1,0.129397
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.48243,4.37876,-22.5053,3.35846,-2.70393,0.406661,-0.71854,-0.000354335,0.129877,-0.718543,-0.000287125,0.128955,6.80454e-005,2.08459e-005,0.50029,5.76595,4.46562,-22.2552,-6.80454e-005,-2.08459e-005,-0.000450029,-0.718475,-0.000307558,0.129405,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.61559,-3.37252,1.75948,0.419274,0.904612,-0.693553,1439423324421,-1,0,0,-0.718475,0,1,0,-0.000307558,0,0,-1,0.129405
