Dsr Loads, , , , , , Msr Loads, , , , , , Dsr Pos, , , Msr Pos, , , Preprocessing PID Computed, , , PID Setpoints, , , Post Processing PID Computed, , , Next Pos, , , Axis, Sign, Point, PID-P, , , Deadbands Lower (0) and Upper (1), , , , , , LWR External, , , , , ,Timestamp, Cartesian Frame
Fx, Fy, Fz, Mx, My, Mz, Fx, Fy, Fz, Mx, My, Mz, Px, Py, Pz, Px, Py, Pz, PIDx, PIDy, PIDz, Fx, Fy, Fz, PIDx, PIDy, PIDz, Px, Py, Pz, Sign, Axis, Point, PIDx-P, PIDy-P, PIDz-P, DeadFx[0], DeadFx[1], DeadFy[0], DeadFy[1], DeadFz[0], DeadFz[1], Fx, Fy, Fz, Mx, My, Mz, t[s], T(0 0), T(0 1), T(0 2), T(0 3), T(1 0), T(1 1), T(1 2), T(1 3), T(2 0), T(2 1), T(2 2), T(2 3)
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.58503,4.38514,-22.4699,3.34788,-2.70933,0.421023,-0.71854,-0.000354335,0.129877,-0.718451,-0.000321694,0.12889,4.34217e-005,1.93145e-005,0.429482,5.76595,4.46562,-22.2552,-4.34217e-005,-1.93145e-005,-0.000442948,-0.718408,-0.000340615,0.129333,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-2.32843,-3.35036,2.2398,0.413071,1.44798,-0.669195,1439423359611,-1,0,0,-0.718408,0,1,0,-0.000340615,0,0,-1,0.129333
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.59135,4.38335,-22.4658,3.34721,-2.7095,0.421953,-0.71854,-0.000354335,0.129877,-0.718451,-0.000321694,0.12889,4.19039e-005,1.97438e-005,0.421146,5.76595,4.46562,-22.2552,-4.19039e-005,-1.97438e-005,-0.000442115,-0.71841,-0.000341046,0.129332,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-2.34294,-3.32069,2.23122,0.407376,1.44985,-0.659515,1439423359613,-1,0,0,-0.71841,0,1,0,-0.000341046,0,0,-1,0.129332
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.5891,4.38519,-22.459,3.34647,-2.70877,0.421498,-0.71854,-0.000354335,0.129877,-0.718451,-0.000321694,0.12889,4.24449e-005,1.93039e-005,0.4076,5.76595,4.46562,-22.2552,-4.24449e-005,-1.93039e-005,-0.00044076,-0.71841,-0.000340606,0.129331,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-2.34019,-3.32713,2.2489,0.408836,1.45172,-0.661917,1439423359615,-1,0,0,-0.71841,0,1,0,-0.000340606,0,0,-1,0.129331
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.58564,4.38416,-22.457,3.34615,-2.70839,0.421131,-0.71854,-0.000354335,0.129877,-0.71846,-0.000317051,0.128902,4.32745e-005,1.95495e-005,0.403515,5.76595,4.46562,-22.2552,-4.32745e-005,-1.95495e-005,-0.000440351,-0.718417,-0.000336211,0.129342,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-2.34613,-3.39577,2.44733,0.42044,1.47768,-0.6832,1439423359617,-1,0,0,-0.718417,0,1,0,-0.000336211,0,0,-1,0.129342
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.58223,4.38051,-22.457,3.34589,-2.70819,0.421038,-0.71854,-0.000354335,0.129877,-0.718495,-0.000300981,0.128954,4.40929e-005,2.04256e-005,0.403622,5.76595,4.46562,-22.2552,-4.40929e-005,-2.04256e-005,-0.000440362,-0.718452,-0.000321024,0.129394,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-2.32635,-3.47087,2.76532,0.43038,1.51425,-0.700485,1439423359619,-1,0,0,-0.718452,0,1,0,-0.000321024,0,0,-1,0.129394
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.54618,4.36722,-22.452,3.34435,-2.70517,0.417557,-0.71854,-0.000354335,0.129877,-0.718528,-0.000288663,0.129,5.27447e-005,2.36158e-005,0.393673,5.76595,4.46562,-22.2552,-5.27447e-005,-2.36158e-005,-0.000439367,-0.718476,-0.000311895,0.129439,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-2.28242,-3.23703,2.25202,0.388422,1.44254,-0.624511,1439423359621,-1,0,0,-0.718476,0,1,0,-0.000311895,0,0,-1,0.129439
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.46947,4.3514,-22.4353,3.34122,-2.69834,0.409035,-0.71854,-0.000354335,0.129877,-0.718545,-0.000280305,0.129023,7.11541e-005,2.74137e-005,0.360123,5.76595,4.46562,-22.2552,-7.11541e-005,-2.74137e-005,-0.000436012,-0.718475,-0.000307326,0.129459,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-2.20293,-3.21522,1.89097,0.390968,1.38594,-0.628811,1439423359623,-1,0,0,-0.718475,0,1,0,-0.000307326,0,0,-1,0.129459
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.37571,4.35112,-22.4104,3.33826,-2.68965,0.397028,-0.71854,-0.000354335,0.129877,-0.718552,-0.000279328,0.12903,9.3657e-005,2.74805e-005,0.310307,5.76595,4.46562,-22.2552,-9.3657e-005,-2.74805e-005,-0.000431031,-0.718459,-0.000306402,0.129462,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-2.18527,-3.25692,1.99713,0.402347,1.40151,-0.64981,1439423359625,-1,0,0,-0.718459,0,1,0,-0.000306402,0,0,-1,0.129462
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.34292,4.35323,-22.3909,3.33629,-2.68607,0.392266,-0.71854,-0.000354335,0.129877,-0.718564,-0.000278922,0.129042,0.000101528,2.69748e-005,0.271336,5.76595,4.46562,-22.2552,-0.000101528,-2.69748e-005,-0.000427134,-0.718463,-0.000305487,0.129469,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-2.28042,-3.33904,2.30419,0.416468,1.4626,-0.677028,1439423359627,-1,0,0,-0.718463,0,1,0,-0.000305487,0,0,-1,0.129469
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.42039,4.35091,-22.3778,3.33488,-2.69109,0.401577,-0.71854,-0.000354335,0.129877,-0.718588,-0.000277848,0.129067,8.29341e-005,2.75304e-005,0.245163,5.76595,4.46562,-22.2552,-8.29341e-005,-2.75304e-005,-0.000424516,-0.718505,-0.000304987,0.129491,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-2.29395,-3.32987,2.5483,0.4118,1.49735,-0.672879,1439423359629,-1,0,0,-0.718505,0,1,0,-0.000304987,0,0,-1,0.129491
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.50566,4.34422,-22.3785,3.335,-2.69764,0.412024,-0.71854,-0.000354335,0.129877,-0.718617,-0.000276815,0.129097,6.24694e-005,2.91349e-005,0.246674,5.76595,4.46562,-22.2552,-6.24694e-005,-2.91349e-005,-0.000424667,-0.718555,-0.000305576,0.129521,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-2.31897,-3.37429,2.38923,0.419233,1.48204,-0.685227,1439423359631,-1,0,0,-0.718555,0,1,0,-0.000305576,0,0,-1,0.129521
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.5209,4.33819,-22.3887,3.33638,-2.69974,0.413486,-0.71854,-0.000354335,0.129877,-0.718644,-0.000273528,0.129121,5.88126e-005,3.05831e-005,0.266987,5.76595,4.46562,-22.2552,-5.88126e-005,-3.05831e-005,-0.000426699,-0.718586,-0.00030374,0.129547,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-2.3697,-3.38059,2.10552,0.419977,1.45699,-0.681799,1439423359633,-1,0,0,-0.718586,0,1,0,-0.00030374,0,0,-1,0.129547
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.48195,4.34247,-22.3898,3.33733,-2.69724,0.40733,-0.71854,-0.000354335,0.129877,-0.71867,-0.000269159,0.129141,6.81603e-005,2.95557e-005,0.269253,5.76595,4.46562,-22.2552,-6.81603e-005,-2.95557e-005,-0.000426925,-0.718602,-0.000298338,0.129568,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-2.36487,-3.37524,2.08355,0.418976,1.45678,-0.676849,1439423359635,-1,0,0,-0.718602,0,1,0,-0.000298338,0,0,-1,0.129568
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.43573,4.34707,-22.3926,3.33851,-2.69445,0.400221,-0.71854,-0.000354335,0.129877,-0.718695,-0.000264819,0.129161,7.92518e-005,2.84513e-005,0.274811,5.76595,4.46562,-22.2552,-7.92518e-005,-2.84513e-005,-0.000427481,-0.718616,-0.000292887,0.129588,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-2.34241,-3.3215,2.2227,0.409461,1.47363,-0.660571,1439423359637,-1,0,0,-0.718616,0,1,0,-0.000292887,0,0,-1,0.129588
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.45178,4.34426,-22.4018,3.33997,-2.69668,0.401495,-0.71854,-0.000354335,0.129877,-0.718723,-0.000261532,0.129186,7.54018e-005,2.91275e-005,0.293228,5.76595,4.46562,-22.2552,-7.54018e-005,-2.91275e-005,-0.000429323,-0.718648,-0.000290279,0.129616,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-2.38598,-3.29898,2.23257,0.405967,1.48457,-0.657329,1439423359639,-1,0,0,-0.718648,0,1,0,-0.000290279,0,0,-1,0.129616
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.50056,4.33754,-22.4062,3.34054,-2.70092,0.407204,-0.71854,-0.000354335,0.129877,-0.718754,-0.000259063,0.129217,6.36928e-005,3.07384e-005,0.302067,5.76595,4.46562,-22.2552,-6.36928e-005,-3.07384e-005,-0.000430207,-0.718691,-0.000289432,0.129647,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-2.43149,-3.27751,2.15512,0.402587,1.48362,-0.653564,1439423359641,-1,0,0,-0.718691,0,1,0,-0.000289432,0,0,-1,0.129647
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.53179,4.32693,-22.4127,3.34108,-2.70405,0.411022,-0.71854,-0.000354335,0.129877,-0.718782,-0.000257398,0.129246,5.61985e-005,3.32861e-005,0.315037,5.76595,4.46562,-22.2552,-5.61985e-005,-3.32861e-005,-0.000431504,-0.718726,-0.00029032,0.129678,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-2.36335,-3.25157,2.14694,0.398649,1.4704,-0.647148,1439423359643,-1,0,0,-0.718726,0,1,0,-0.00029032,0,0,-1,0.129678
