Dsr Loads, , , , , , Msr Loads, , , , , , Dsr Pos, , , Msr Pos, , , Preprocessing PID Computed, , , PID Setpoints, , , Post Processing PID Computed, , , Next Pos, , , Axis, Sign, Point, PID-P, , , Deadbands Lower (0) and Upper (1), , , , , , LWR External, , , , , ,Timestamp, Cartesian Frame
Fx, Fy, Fz, Mx, My, Mz, Fx, Fy, Fz, Mx, My, Mz, Px, Py, Pz, Px, Py, Pz, PIDx, PIDy, PIDz, Fx, Fy, Fz, PIDx, PIDy, PIDz, Px, Py, Pz, Sign, Axis, Point, PIDx-P, PIDy-P, PIDz-P, DeadFx[0], DeadFx[1], DeadFy[0], DeadFy[1], DeadFz[0], DeadFz[1], Fx, Fy, Fz, Mx, My, Mz, t[s], T(0 0), T(0 1), T(0 2), T(0 3), T(1 0), T(1 1), T(1 2), T(1 3), T(2 0), T(2 1), T(2 2), T(2 3)
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.57085,4.40849,-22.4713,3.35347,-2.70793,0.416812,-0.71854,-0.000354335,0.129877,-0.718514,-0.000315721,0.128898,4.68249e-005,1.37123e-005,0.432205,5.76595,4.46562,-22.2552,-4.68249e-005,-1.37123e-005,-0.000443221,-0.718467,-0.000329015,0.129341,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.9042,-3.36133,1.9047,0.409329,1.1258,-0.674206,1439423291218,-1,0,0,-0.718467,0,1,0,-0.000329015,0,0,-1,0.129341
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.56855,4.41019,-22.4652,3.35282,-2.70732,0.416388,-0.71854,-0.000354335,0.129877,-0.718514,-0.000315488,0.128898,4.73763e-005,1.3304e-005,0.419968,5.76595,4.46562,-22.2552,-4.73763e-005,-1.3304e-005,-0.000441997,-0.718466,-0.000328374,0.12934,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.91718,-3.35705,1.88751,0.408457,1.12611,-0.672564,1439423291220,-1,0,0,-0.718466,0,1,0,-0.000328374,0,0,-1,0.12934
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.57023,4.40954,-22.4673,3.35304,-2.70763,0.416673,-0.71854,-0.000354335,0.129877,-0.718513,-0.000315642,0.128898,4.6973e-005,1.34583e-005,0.424225,5.76595,4.46562,-22.2552,-4.6973e-005,-1.34583e-005,-0.000442422,-0.718466,-0.000328682,0.12934,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.90653,-3.28823,1.89457,0.396022,1.12498,-0.652678,1439423291222,-1,0,0,-0.718466,0,1,0,-0.000328682,0,0,-1,0.12934
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.56766,4.41213,-22.4725,3.35385,-2.70776,0.416176,-0.71854,-0.000354335,0.129877,-0.718518,-0.00031026,0.128906,4.75888e-005,1.28378e-005,0.434525,5.76595,4.46562,-22.2552,-4.75888e-005,-1.28378e-005,-0.000443452,-0.71847,-0.00032268,0.129349,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.91455,-3.396,2.04756,0.416207,1.1458,-0.688976,1439423291224,-1,0,0,-0.71847,0,1,0,-0.00032268,0,0,-1,0.129349
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.56514,4.4085,-22.4717,3.35349,-2.70746,0.41617,-0.71854,-0.000354335,0.129877,-0.718535,-0.00029332,0.128932,4.81952e-005,1.37083e-005,0.433044,5.76595,4.46562,-22.2552,-4.81952e-005,-1.37083e-005,-0.000443304,-0.718487,-0.000306618,0.129375,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.91271,-3.51761,2.16954,0.435571,1.16094,-0.719838,1439423291226,-1,0,0,-0.718487,0,1,0,-0.000306618,0,0,-1,0.129375
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.56631,4.39541,-22.4586,3.3509,-2.70649,0.417352,-0.71854,-0.000354335,0.129877,-0.718548,-0.000274212,0.128955,4.7914e-005,1.68501e-005,0.406815,5.76595,4.46562,-22.2552,-4.7914e-005,-1.68501e-005,-0.000440681,-0.7185,-0.000290662,0.129396,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.87096,-3.40103,1.87717,0.413359,1.11698,-0.677026,1439423291228,-1,0,0,-0.7185,0,1,0,-0.000290662,0,0,-1,0.129396
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.53568,4.38154,-22.4417,3.34775,-2.70296,0.414532,-0.71854,-0.000354335,0.129877,-0.71855,-0.000260622,0.128963,5.5266e-005,2.01783e-005,0.372978,5.76595,4.46562,-22.2552,-5.5266e-005,-2.01783e-005,-0.000437298,-0.718495,-0.000280403,0.1294,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.83599,-3.26951,1.68904,0.39252,1.08799,-0.642454,1439423291230,-1,0,0,-0.718495,0,1,0,-0.000280403,0,0,-1,0.1294
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.48253,4.37222,-22.4359,3.34637,-2.69869,0.408494,-0.71854,-0.000354335,0.129877,-0.718549,-0.000257032,0.128965,6.80207e-005,2.24167e-005,0.361496,5.76595,4.46562,-22.2552,-6.80207e-005,-2.24167e-005,-0.00043615,-0.718481,-0.00027904,0.129401,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.83742,-3.21328,1.79481,0.386653,1.10361,-0.639656,1439423291232,-1,0,0,-0.718481,0,1,0,-0.00027904,0,0,-1,0.129401
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.45007,4.36893,-22.4338,3.34592,-2.69624,0.40448,-0.71854,-0.000354335,0.129877,-0.718551,-0.000257684,0.128971,7.58122e-005,2.32047e-005,0.357292,5.76595,4.46562,-22.2552,-7.58122e-005,-2.32047e-005,-0.000435729,-0.718476,-0.000280473,0.129407,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.83292,-3.29143,2.00524,0.402699,1.13037,-0.67115,1439423291234,-1,0,0,-0.718476,0,1,0,-0.000280473,0,0,-1,0.129407
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.46746,4.36809,-22.4337,3.34602,-2.69763,0.406448,-0.71854,-0.000354335,0.129877,-0.718557,-0.000257677,0.128982,7.16386e-005,2.3408e-005,0.356907,5.76595,4.46562,-22.2552,-7.16386e-005,-2.3408e-005,-0.000435691,-0.718486,-0.000280674,0.129418,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.86927,-3.37598,2.02278,0.417427,1.14017,-0.695951,1439423291236,-1,0,0,-0.718486,0,1,0,-0.000280674,0,0,-1,0.129418
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.5205,4.36988,-22.4347,3.34652,-2.70173,0.412658,-0.71854,-0.000354335,0.129877,-0.718564,-0.000254323,0.128993,5.89077e-005,2.29784e-005,0.358978,5.76595,4.46562,-22.2552,-5.89077e-005,-2.29784e-005,-0.000435898,-0.718505,-0.000276904,0.129429,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.90811,-3.43156,1.94646,0.425567,1.13885,-0.706886,1439423291238,-1,0,0,-0.718505,0,1,0,-0.000276904,0,0,-1,0.129429
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.55515,4.37656,-22.4271,3.34624,-2.70382,0.416091,-0.71854,-0.000354335,0.129877,-0.718569,-0.000249431,0.129001,5.05916e-005,2.13746e-005,0.343819,5.76595,4.46562,-22.2552,-5.05916e-005,-2.13746e-005,-0.000434382,-0.718519,-0.00027042,0.129436,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.90323,-3.43118,1.87785,0.424026,1.12988,-0.70088,1439423291240,-1,0,0,-0.718519,0,1,0,-0.00027042,0,0,-1,0.129436
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.54894,4.38575,-22.4215,3.34641,-2.70311,0.414183,-0.71854,-0.000354335,0.129877,-0.718573,-0.000243625,0.129006,5.20825e-005,1.917e-005,0.332512,5.76595,4.46562,-22.2552,-5.20825e-005,-1.917e-005,-0.000433251,-0.718521,-0.000262412,0.12944,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.89683,-3.39057,1.86591,0.4157,1.1283,-0.684382,1439423291242,-1,0,0,-0.718521,0,1,0,-0.000262412,0,0,-1,0.12944
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.52331,4.39386,-22.4245,3.3476,-2.70163,0.409924,-0.71854,-0.000354335,0.129877,-0.71858,-0.000238485,0.129016,5.82336e-005,1.72235e-005,0.338516,5.76595,4.46562,-22.2552,-5.82336e-005,-1.72235e-005,-0.000433852,-0.718522,-0.000255321,0.12945,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.89172,-3.35413,1.9442,0.410095,1.13844,-0.676606,1439423291244,-1,0,0,-0.718522,0,1,0,-0.000255321,0,0,-1,0.12945
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.5163,4.39265,-22.434,3.34885,-2.70199,0.408723,-0.71854,-0.000354335,0.129877,-0.718589,-0.000235222,0.129029,5.99169e-005,1.75119e-005,0.357506,5.76595,4.46562,-22.2552,-5.99169e-005,-1.75119e-005,-0.000435751,-0.718529,-0.000252345,0.129464,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.9423,-3.32503,1.9031,0.405274,1.14359,-0.669741,1439423291246,-1,0,0,-0.718529,0,1,0,-0.000252345,0,0,-1,0.129464
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.53806,4.38589,-22.4428,3.34962,-2.70439,0.411629,-0.71854,-0.000354335,0.129877,-0.718598,-0.000232112,0.129042,5.46933e-005,1.91345e-005,0.375145,5.76595,4.46562,-22.2552,-5.46933e-005,-1.91345e-005,-0.000437514,-0.718544,-0.000250863,0.12948,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.9419,-3.33824,1.8641,0.408259,1.13899,-0.675539,1439423291248,-1,0,0,-0.718544,0,1,0,-0.000250863,0,0,-1,0.12948
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.55163,4.38551,-22.438,3.34911,-2.7051,0.41306,-0.71854,-0.000354335,0.129877,-0.718606,-0.000228591,0.129055,5.14376e-005,1.92268e-005,0.365574,5.76595,4.46562,-22.2552,-5.14376e-005,-1.92268e-005,-0.000436557,-0.718555,-0.00024744,0.129491,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.9182,-3.33697,1.80957,0.407991,1.12795,-0.673839,1439423291250,-1,0,0,-0.718555,0,1,0,-0.00024744,0,0,-1,0.129491
