Dsr Loads, , , , , , Msr Loads, , , , , , Dsr Pos, , , Msr Pos, , , Preprocessing PID Computed, , , PID Setpoints, , , Post Processing PID Computed, , , Next Pos, , , Axis, Sign, Point, PID-P, , , Deadbands Lower (0) and Upper (1), , , , , , LWR External, , , , , ,Timestamp, Cartesian Frame
Fx, Fy, Fz, Mx, My, Mz, Fx, Fy, Fz, Mx, My, Mz, Px, Py, Pz, Px, Py, Pz, PIDx, PIDy, PIDz, Fx, Fy, Fz, PIDx, PIDy, PIDz, Px, Py, Pz, Sign, Axis, Point, PIDx-P, PIDy-P, PIDz-P, DeadFx[0], DeadFx[1], DeadFy[0], DeadFy[1], DeadFz[0], DeadFz[1], Fx, Fy, Fz, Mx, My, Mz, t[s], T(0 0), T(0 1), T(0 2), T(0 3), T(1 0), T(1 1), T(1 2), T(1 3), T(2 0), T(2 1), T(2 2), T(2 3)
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.55992,4.41131,-22.4965,3.35731,-2.70959,0.414262,-0.71854,-0.000354335,0.129877,-0.718515,-0.000326913,0.128893,4.94474e-005,1.30353e-005,0.482513,5.76595,4.46562,-22.2552,-4.94474e-005,-1.30353e-005,-0.000448251,-0.718466,-0.000339517,0.129341,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.63002,-3.43022,1.95814,0.438862,1.03461,-0.713726,1439423056844,-1,0,0,-0.718466,0,1,0,-0.000339517,0,0,-1,0.129341
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.56429,4.41265,-22.497,3.3575,-2.70992,0.414715,-0.71854,-0.000354335,0.129877,-0.718515,-0.000327068,0.128893,4.83988e-005,1.2713e-005,0.483582,5.76595,4.46562,-22.2552,-4.83988e-005,-1.2713e-005,-0.000448358,-0.718467,-0.000339349,0.129341,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.63196,-3.40872,1.91359,0.434495,1.02909,-0.705893,1439423056846,-1,0,0,-0.718467,0,1,0,-0.000339349,0,0,-1,0.129341
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.56056,4.41453,-22.4919,3.35699,-2.70923,0.414093,-0.71854,-0.000354335,0.129877,-0.718515,-0.000326913,0.128893,4.92939e-005,1.22618e-005,0.473461,5.76595,4.46562,-22.2552,-4.92939e-005,-1.22618e-005,-0.000447346,-0.718466,-0.000338744,0.12934,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.62151,-3.39852,1.9331,0.432508,1.02965,-0.701648,1439423056848,-1,0,0,-0.718466,0,1,0,-0.000338744,0,0,-1,0.12934
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.55806,4.4137,-22.4909,3.3568,-2.70894,0.413817,-0.71854,-0.000354335,0.129877,-0.71852,-0.000322274,0.128899,4.98942e-005,1.24601e-005,0.471382,5.76595,4.46562,-22.2552,-4.98942e-005,-1.24601e-005,-0.000447138,-0.71847,-0.000334305,0.129346,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.6321,-3.45996,2.08006,0.443616,1.05014,-0.72231,1439423056850,-1,0,0,-0.71847,0,1,0,-0.000334305,0,0,-1,0.129346
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.56378,4.40942,-22.4842,3.35564,-2.70883,0.414865,-0.71854,-0.000354335,0.129877,-0.718535,-0.000306226,0.128922,4.8521e-005,1.34871e-005,0.457954,5.76595,4.46562,-22.2552,-4.8521e-005,-1.34871e-005,-0.000445795,-0.718487,-0.000319294,0.129367,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.62922,-3.55697,2.15725,0.458766,1.05917,-0.746209,1439423056852,-1,0,0,-0.718487,0,1,0,-0.000319294,0,0,-1,0.129367
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.55804,4.40006,-22.4725,3.35354,-2.70748,0.414859,-0.71854,-0.000354335,0.129877,-0.718544,-0.00028967,0.128936,4.98983e-005,1.5734e-005,0.434563,5.76595,4.46562,-22.2552,-4.98983e-005,-1.5734e-005,-0.000443456,-0.718494,-0.000304992,0.129379,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.57818,-3.4559,1.88249,0.440278,1.0155,-0.710637,1439423056855,-1,0,0,-0.718494,0,1,0,-0.000304992,0,0,-1,0.129379
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.52928,4.38831,-22.4695,3.35236,-2.70514,0.412158,-0.71854,-0.000354335,0.129877,-0.718545,-0.000276929,0.128942,5.68011e-005,1.85551e-005,0.428673,5.76595,4.46562,-22.2552,-5.68011e-005,-1.85551e-005,-0.000442867,-0.718488,-0.000295072,0.129385,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.55817,-3.32113,1.79163,0.418193,1.00212,-0.675553,1439423056856,-1,0,0,-0.718488,0,1,0,-0.000295072,0,0,-1,0.129385
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.48239,4.38115,-22.469,3.35178,-2.70172,0.406753,-0.71854,-0.000354335,0.129877,-0.718545,-0.000271633,0.128946,6.80538e-005,2.02732e-005,0.427608,5.76595,4.46562,-22.2552,-6.80538e-005,-2.02732e-005,-0.000442761,-0.718478,-0.000291487,0.129389,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.55513,-3.30457,1.92661,0.418948,1.01979,-0.682768,1439423056858,-1,0,0,-0.718478,0,1,0,-0.000291487,0,0,-1,0.129389
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.464,4.37191,-22.4714,3.35149,-2.70065,0.404976,-0.71854,-0.000354335,0.129877,-0.718549,-0.000269798,0.128955,7.24678e-005,2.24907e-005,0.432468,5.76595,4.46562,-22.2552,-7.24678e-005,-2.24907e-005,-0.000443247,-0.718477,-0.000291866,0.129398,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.52555,-3.35186,2.09899,0.429404,1.03666,-0.704692,1439423056860,-1,0,0,-0.718477,0,1,0,-0.000291866,0,0,-1,0.129398
5.76595,4.46562,-22.2552,3.30423,-2.70136,0.457414,5.49784,4.36635,-22.472,3.35131,-2.70327,0.409458,-0.71854,-0.000354335,0.129877,-0.718555,-0.000268066,0.128967,6.43472e-005,2.38247e-005,0.433659,5.76595,4.46562,-22.2552,-6.43472e-005,-2.38247e-005,-0.000443366,-0.718491,-0.000291475,0.129411,1,2,0,20,20,100,5.59592,5.76595,4.421,4.46562,-22.4685,-22.2552,-1.56342,-3.38848,2.08885,0.435603,1.04354,-0.715057,1439423056862,-1,0,0,-0.718491,0,1,0,-0.000291475,0,0,-1,0.129411
